ticker,GRMN US Equity,GRMN US Equity,GRMN US Equity,GRMN US Equity,GRMN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2007-06-14,68.77,67.63,66.354,58.3084,52.6647,UP,1
2007-06-15,69.77,69.71,67.544,58.6232,52.7871,UP,1
2007-06-18,71.57,69.47,68.642,58.9732,52.9184,DOWN,0
2007-06-19,70.95,71.5,69.698,59.317,53.0394,DOWN,0
2007-06-20,68.36,70.92,69.884,59.6144,53.1474,UP,1
2007-06-21,70.69,68.45,70.268,59.9744,53.266,UP,1
2007-06-22,70.83,70.68,70.48,60.3232,53.3812,UP,1
2007-06-25,72.35,71.39,70.636,60.6982,53.517,DOWN,0
2007-06-26,71.62,73.0,70.77,61.0476,53.6622,UP,1
2007-06-27,75.03,71.24,72.104,61.4644,53.8214,DOWN,0
2007-06-28,73.42,73.68,72.65,61.8388,53.9776,UP,1
2007-06-29,73.97,73.79,73.278,62.216,54.1329,UP,1
2007-07-02,76.05,74.3,74.018,62.6368,54.2966,DOWN,0
2007-07-03,75.18,76.65,74.73,63.038,54.4526,UP,1
2007-07-05,76.34,75.5,74.992,63.4684,54.6168,UP,1
2007-07-06,77.66,76.5,75.84,63.8958,54.7833,UP,1
2007-07-09,78.8899,77.77,76.824,64.3144,54.9621,DOWN,0
2007-07-10,77.92,79.24,77.198,64.7006,55.1295,UP,1
2007-07-11,79.69,77.76,78.1,65.1306,55.3048,UP,1
2007-07-12,81.48,80.0,79.128,65.5728,55.4928,UP,1
2007-07-13,82.28,82.0,80.052,66.0796,55.6789,UP,1
2007-07-16,82.74,82.47,80.822,66.6014,55.8659,DOWN,0
2007-07-17,79.9999,83.47,81.238,67.0924,56.0291,DOWN,0
2007-07-18,79.36,79.96,81.172,67.5652,56.1832,UP,1
2007-07-19,82.02,80.9,81.28,68.0912,56.3494,DOWN,0
2007-07-20,79.71,82.01,80.766,68.5532,56.5083,UP,1
2007-07-23,80.64,80.73,80.346,69.0548,56.6758,DOWN,0
2007-07-24,80.159,80.0,80.3778,69.5346,56.8318,UP,1
2007-07-25,84.36,80.85,81.3778,70.1008,57.0061,DOWN,0
2007-07-26,82.8,83.27,81.5338,70.6408,57.1714,DOWN,0
2007-07-27,79.8999,82.9,81.5718,71.1236,57.3189,UP,1
2007-07-30,85.07,81.51,82.4578,71.7166,57.491,DOWN,0
2007-07-31,83.9,86.54,83.206,72.258,57.6595,UP,1
2007-08-01,92.61,90.01,84.856,72.9622,57.8687,UP,1
2007-08-02,97.89,94.0,87.874,73.7532,58.1029,UP,1
2007-08-03,98.66,97.15,91.626,74.5238,58.3415,DOWN,0
2007-08-06,96.82,99.54,93.976,75.2428,58.5721,UP,1
2007-08-07,100.3325,95.65,97.2625,76.0476,58.8259,UP,1
2007-08-08,103.93,101.44,99.5265,76.917,59.0985,DOWN,0
2007-08-09,102.32,101.3,100.4125,77.6638,59.3654,DOWN,0
2007-08-10,99.57,99.81,100.5945,78.3686,59.6138,UP,1
2007-08-13,100.26,102.14,101.2825,79.0744,59.862,DOWN,0
2007-08-14,92.61,101.24,99.738,79.645,60.0605,DOWN,0
2007-08-15,91.2,92.1,97.192,80.1902,60.2422,DOWN,0
2007-08-16,89.74,88.91,94.676,80.7016,60.4264,UP,1
2007-08-17,92.33,93.53,93.228,81.295,60.6253,UP,1
2007-08-20,97.73,94.95,92.722,81.9732,60.8469,UP,1
2007-08-21,102.5,99.49,94.7,82.7016,61.1345,DOWN,0
2007-08-22,101.37,104.85,96.734,83.4156,61.4088,DOWN,0
2007-08-23,101.3,102.0,99.046,84.093,61.6825,UP,1
2007-08-24,104.0,100.96,101.38,84.7976,61.9665,DOWN,0
2007-08-27,101.93,103.25,102.22,85.4408,62.241,DOWN,0
