ticker,D US Equity,D US Equity,D US Equity,D US Equity,D US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2011-07-05,48.61,48.83,44.6391,48.354,47.448,UP,1
2011-07-06,48.9,48.48,44.6621,48.574,47.5242,UP,1
2011-07-07,48.96,49.26,44.6864,48.746,47.5884,DOWN,0
2011-07-08,48.63,48.59,44.7085,48.818,47.6398,DOWN,0
2011-07-11,48.11,48.34,44.7319,48.642,47.6754,UP,1
2011-07-12,48.36,47.96,44.7526,48.592,47.7142,DOWN,0
2011-07-13,48.28,48.57,44.7727,48.468,47.749,DOWN,0
2011-07-14,48.17,48.23,44.7926,48.31,47.7778,UP,1
2011-07-15,48.46,48.24,44.8151,48.276,47.8066,DOWN,0
2011-07-18,48.0,48.25,44.8368,48.254,47.8358,UP,1
2011-07-19,48.69,48.12,44.8601,48.32,47.8712,UP,1
2011-07-20,49.26,48.95,44.887,48.516,47.9162,UP,1
2011-07-21,50.0,49.55,44.9141,48.882,47.9634,DOWN,0
2011-07-22,49.78,50.15,44.9405,49.146,48.006,DOWN,0
2011-07-25,49.57,49.47,44.9658,49.46,48.0344,DOWN,0
2011-07-26,49.3,49.57,44.9889,49.582,48.0606,DOWN,0
2011-07-27,49.05,49.19,45.0107,49.54,48.0842,DOWN,0
2011-07-28,48.99,49.33,45.0341,49.338,48.0974,DOWN,0
2011-07-29,48.45,48.69,45.0536,49.072,48.107,UP,1
2011-08-01,48.59,48.83,45.0734,48.876,48.1148,DOWN,0
2011-08-02,48.1,48.33,45.0912,48.636,48.1112,UP,1
2011-08-03,48.66,48.16,45.1099,48.558,48.1256,DOWN,0
2011-08-04,47.77,48.22,45.1262,48.314,48.1228,UP,1
2011-08-05,48.59,48.14,45.1457,48.342,48.151,DOWN,0
2011-08-08,45.94,47.84,45.1517,47.812,48.123,UP,1
2011-08-09,46.77,46.69,45.163,47.546,48.1138,DOWN,0
2011-08-10,46.36,46.13,45.1725,47.086,48.0866,UP,1
2011-08-11,48.03,46.58,45.1924,47.138,48.1048,DOWN,0
2011-08-12,47.71,48.42,45.2119,46.962,48.1136,UP,1
2011-08-15,49.68,48.12,45.2405,47.71,48.1642,UP,1
2011-08-16,49.69,49.19,45.2717,48.294,48.22,UP,1
2011-08-17,50.12,49.89,45.3098,49.046,48.2744,DOWN,0
2011-08-18,49.08,49.17,45.3411,49.256,48.3022,DOWN,0
2011-08-19,47.99,48.6,45.3667,49.312,48.3024,UP,1
2011-08-22,48.25,48.9,45.3903,49.026,48.3168,UP,1
2011-08-23,49.1,48.32,45.4183,48.908,48.3422,UP,1
2011-08-24,49.58,48.43,45.4508,48.8,48.38,DOWN,0
2011-08-25,48.94,49.72,45.4801,48.772,48.4168,DOWN,0
2011-08-26,48.46,48.69,45.5075,48.866,48.4408,UP,1
2011-08-29,48.97,49.14,45.5382,49.01,48.467,DOWN,0
2011-08-30,48.75,49.01,45.5676,48.94,48.4788,DOWN,0
2011-08-31,48.74,49.03,45.5957,48.772,48.489,DOWN,0
