ticker,ABBV US Equity,ABBV US Equity,ABBV US Equity,ABBV US Equity,ABBV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2019-05-02,78.47,78.73,79.35,80.0994,87.0059,UP,1
2019-05-03,78.71,78.72,79.152,80.0986,86.9224,UP,1
2019-05-06,79.26,77.75,78.944,80.0834,86.8467,DOWN,0
2019-05-07,77.95,78.6,78.656,80.0366,86.7867,UP,1
2019-05-08,77.99,77.95,78.476,79.9862,86.7321,DOWN,0
2019-05-09,77.91,77.51,78.364,79.9562,86.6746,DOWN,0
2019-05-10,77.45,77.45,78.112,79.9204,86.6042,DOWN,0
2019-05-13,76.87,76.3,77.634,79.8558,86.5229,UP,1
2019-05-14,78.44,77.16,77.732,79.8354,86.4454,UP,1
2019-05-15,78.78,78.51,77.89,79.8328,86.3865,UP,1
2019-05-16,79.5,78.98,78.208,79.861,86.3268,DOWN,0
2019-05-17,79.46,78.53,78.61,79.8854,86.2629,UP,1
2019-05-20,79.82,79.02,79.2,79.9302,86.1925,UP,1
2019-05-21,80.88,80.33,79.688,79.9862,86.1213,UP,1
2019-05-22,81.59,80.51,80.25,80.0432,86.0466,DOWN,0
2019-05-23,81.15,80.39,80.58,80.0876,85.967,DOWN,0
2019-05-24,80.06,81.09,80.7,80.0898,85.897,DOWN,0
2019-05-28,78.03,80.0,80.342,80.0236,85.8185,UP,1
2019-05-29,78.06,77.57,79.778,79.9718,85.7315,DOWN,0
2019-05-30,77.61,78.52,78.982,79.9076,85.6405,DOWN,0
2019-05-31,76.71,77.31,78.094,79.8332,85.5402,DOWN,0
2019-06-03,75.7,76.63,77.222,79.7224,85.4391,UP,1
2019-06-04,76.75,76.14,76.966,79.6622,85.3356,UP,1
2019-06-05,77.06,77.41,76.766,79.6132,85.2298,UP,1
2019-06-06,77.07,77.16,76.658,79.5394,85.1211,UP,1
2019-06-07,77.43,77.49,76.802,79.4902,85.0201,DOWN,0
2019-06-10,76.95,77.46,77.052,79.43,84.9161,UP,1
2019-06-11,78.17,77.49,77.336,79.3816,84.8188,UP,1
2019-06-12,78.57,78.25,77.638,79.3374,84.7259,UP,1
2019-06-13,78.95,78.93,78.014,79.255,84.6336,DOWN,0
2019-06-14,78.69,78.95,78.266,79.1672,84.537,DOWN,0
2019-06-17,78.65,78.4,78.606,79.084,84.4439,DOWN,0
2019-06-18,78.25,78.88,78.622,78.98,84.3473,DOWN,0
2019-06-19,77.61,78.4,78.43,78.8526,84.2514,UP,1
2019-06-20,78.34,78.24,78.308,78.7656,84.1632,UP,1
2019-06-21,78.78,78.15,78.326,78.6822,84.0843,DOWN,0
