ticker,ODFL US Equity,ODFL US Equity,ODFL US Equity,ODFL US Equity,ODFL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2007-08-14,8.1007,8.4593,8.6223,8.611,8.8631,DOWN,0
2007-08-15,7.9437,8.1037,8.6206,8.4018,8.8393,UP,1
2007-08-16,8.2044,7.9526,8.6194,8.2916,8.8242,UP,1
2007-08-17,8.4711,8.5333,8.6203,8.2329,8.8204,UP,1
2007-08-20,8.6785,8.5244,8.6227,8.2797,8.8165,DOWN,0
2007-08-21,8.5363,8.6756,8.6236,8.3668,8.8105,UP,1
2007-08-22,8.7081,8.6341,8.6264,8.5197,8.8113,DOWN,0
2007-08-23,8.4622,8.7852,8.6292,8.5713,8.8042,UP,1
2007-08-24,8.5867,8.4533,8.6314,8.5944,8.7956,DOWN,0
2007-08-27,8.4385,8.5244,8.6331,8.5464,8.7809,DOWN,0
2007-08-28,8.2963,8.3674,8.6336,8.4984,8.7684,UP,1
2007-08-29,8.5274,8.3615,8.6355,8.4622,8.7608,DOWN,0
2007-08-30,8.3585,8.4296,8.6358,8.4415,8.7522,UP,1
2007-08-31,8.5333,8.5067,8.6366,8.4308,8.7451,DOWN,0
2007-09-04,8.4889,8.5126,8.6364,8.4409,8.7393,DOWN,0
2007-09-05,8.2193,8.4237,8.6342,8.4255,8.7244,DOWN,0
2007-09-06,8.2044,8.2459,8.6319,8.3609,8.7115,DOWN,0
2007-09-07,8.0119,8.077,8.6291,8.2916,8.6882,DOWN,0
2007-09-10,7.7333,8.0356,8.6258,8.1316,8.6629,UP,1
2007-09-11,7.8281,7.76,8.6227,7.9994,8.6408,DOWN,0
2007-09-12,7.6119,7.7985,8.6189,7.8779,8.6108,UP,1
2007-09-13,7.6178,7.6326,8.6158,7.7606,8.579,UP,1
2007-09-14,7.8163,7.5259,8.6146,7.7215,8.5527,UP,1
2007-09-17,8.003,7.7748,8.6141,7.7754,8.5279,UP,1
2007-09-18,8.1156,8.0444,8.6159,7.8329,8.5051,DOWN,0
2007-09-19,7.9081,8.1896,8.6157,7.8921,8.4833,DOWN,0
2007-09-20,7.3985,7.8637,8.6128,7.8483,8.4475,DOWN,0
2007-09-21,7.3541,7.4696,8.6091,7.7559,8.4076,DOWN,0
2007-09-24,7.3126,7.3659,8.6058,7.6178,8.3672,DOWN,0
2007-09-25,7.2119,7.2622,8.602,7.437,8.3224,UP,1
2007-09-26,7.2444,7.2296,8.5984,7.3043,8.2802,DOWN,0
2007-09-27,7.1733,7.2919,8.5954,7.2593,8.2372,DOWN,0
2007-09-28,7.1022,7.1556,8.5912,7.2089,8.1925,UP,1
2007-10-01,7.3096,7.1111,8.5899,7.2083,8.157,UP,1
2007-10-02,7.3481,7.3452,8.589,7.2356,8.1345,DOWN,0
2007-10-03,7.2444,7.3037,8.5865,7.2356,8.1186,DOWN,0
2007-10-04,7.2178,7.2681,8.5849,7.2444,8.1,UP,1
2007-10-05,7.4726,7.3007,8.5854,7.3185,8.0832,DOWN,0
2007-10-08,7.3719,7.5319,8.5848,7.331,8.062,DOWN,0
2007-10-09,7.28,7.4074,8.5842,7.3173,8.0367,DOWN,0
2007-10-10,7.2533,7.2622,8.5841,7.3191,8.0108,DOWN,0
2007-10-11,7.1526,7.2978,8.5836,7.3061,7.9819,UP,1
2007-10-12,7.1881,7.1259,8.5827,7.2492,7.9513,DOWN,0
2007-10-15,7.0785,7.1763,8.5814,7.1905,7.9259,UP,1
2007-10-16,7.1348,7.0548,8.581,7.1615,7.8968,DOWN,0
2007-10-17,6.9956,7.1911,8.5803,7.1099,7.8641,DOWN,0
2007-10-18,6.6548,6.9215,8.5754,7.0104,7.8174,DOWN,0
2007-10-19,6.5985,6.8889,8.5686,6.8924,7.7742,UP,1
2007-10-22,6.8207,6.5481,8.5643,6.8409,7.7353,UP,1
2007-10-23,6.9037,6.9007,8.5604,6.7947,7.7045,DOWN,0
2007-10-24,6.7319,6.8148,8.5555,6.7419,7.6772,DOWN,0
2007-10-25,6.4711,6.4059,8.5491,6.7052,7.6477,UP,1
2007-10-26,6.6904,6.477,8.5431,6.7236,7.6174,DOWN,0
2007-10-29,6.5867,6.7319,8.5356,6.6767,7.5797,DOWN,0
2007-10-30,6.56,6.5452,8.5276,6.608,7.5374,UP,1
2007-10-31,6.6933,6.6311,8.521,6.6003,7.5005,DOWN,0
2007-11-01,6.5333,6.6044,8.5135,6.6127,7.457,UP,1
2007-11-02,6.7259,6.6252,8.5072,6.6199,7.4223,DOWN,0
2007-11-05,6.6637,6.5867,8.5015,6.6353,7.3838,UP,1
2007-11-06,6.717,6.6607,8.4959,6.6667,7.3494,DOWN,0
2007-11-07,6.5926,6.6074,8.4895,6.6465,7.3153,UP,1
2007-11-08,6.9956,6.6341,8.4854,6.739,7.2847,DOWN,0
2007-11-09,6.8207,6.8296,8.4805,6.7579,7.2539,UP,1
2007-11-12,6.96,6.8059,8.4756,6.8172,7.2225,UP,1
2007-11-13,7.443,6.9926,8.4715,6.9624,7.2015,DOWN,0
2007-11-14,7.3007,7.4607,8.4669,7.104,7.1832,DOWN,0
2007-11-15,7.1022,7.2533,8.4546,7.1253,7.1611,DOWN,0
2007-11-16,6.6696,7.0489,8.441,7.0951,7.1343,DOWN,0
2007-11-19,6.4119,6.5837,8.4269,6.9855,7.1079,DOWN,0
2007-11-20,6.3822,6.4267,8.4115,6.7733,7.0789,DOWN,0
2007-11-21,6.3733,6.317,8.3957,6.5879,7.0542,DOWN,0
2007-11-23,6.3704,6.4356,8.3808,6.4415,7.0292,DOWN,0
2007-11-26,6.163,6.3674,8.3652,6.3401,6.9961,DOWN,0
2007-11-27,6.1304,6.1837,8.35,6.2839,6.9587,UP,1
2007-11-28,6.5481,6.3111,8.336,6.317,6.9273,DOWN,0
2007-11-29,6.3704,6.5067,8.3191,6.3164,6.8966,UP,1
2007-11-30,6.6756,6.4593,8.3038,6.3775,6.8821,UP,1
2007-12-03,6.7793,6.6489,8.2897,6.5007,6.8706,DOWN,0
2007-12-04,6.5185,6.717,8.2733,6.5784,6.8548,UP,1
