ticker,HII US Equity,HII US Equity,HII US Equity,HII US Equity,HII US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2021-03-15,198.28,195.7,191.246,173.8192,166.353,DOWN,0
2021-03-16,195.13,197.53,193.254,174.3122,166.3292,UP,1
2021-03-17,197.94,195.62,195.27,174.99,166.3412,UP,1
2021-03-18,198.47,198.33,196.982,175.6482,166.3623,DOWN,0
2021-03-19,197.26,198.06,197.416,176.1738,166.3503,DOWN,0
2021-03-22,196.07,196.54,196.974,176.7004,166.3381,DOWN,0
2021-03-23,191.48,193.39,196.244,177.1482,166.2826,UP,1
2021-03-24,194.12,193.21,195.48,177.6466,166.2231,UP,1
2021-03-25,200.14,194.69,195.814,178.2052,166.235,UP,1
2021-03-26,203.16,200.64,196.994,178.8424,166.2658,UP,1
2021-03-29,207.36,203.4,199.252,179.5492,166.3986,DOWN,0
2021-03-30,205.67,207.11,202.09,180.2332,166.5155,UP,1
2021-03-31,205.85,205.58,204.436,180.9388,166.6343,DOWN,0
2021-04-01,204.23,206.0,205.254,181.6542,166.7276,UP,1
2021-04-05,207.6,206.18,206.142,182.4684,166.8458,DOWN,0
2021-04-06,207.37,206.34,206.144,183.263,166.9752,DOWN,0
2021-04-07,205.03,207.58,206.016,184.0334,167.1071,UP,1
2021-04-08,206.64,204.2,206.174,184.9486,167.2507,UP,1
2021-04-09,206.87,207.54,206.702,185.822,167.3992,UP,1
2021-04-12,210.27,207.63,207.236,186.7884,167.6144,DOWN,0
2021-04-13,206.15,208.03,206.992,187.7648,167.7846,UP,1
2021-04-14,207.86,205.75,207.558,188.7666,167.9691,UP,1
2021-04-15,208.35,207.68,207.9,189.7412,168.1238,DOWN,0
2021-04-16,208.06,209.81,208.138,190.6784,168.2917,UP,1
2021-04-19,210.0,209.14,208.084,191.6534,168.473,DOWN,0
2021-04-20,207.57,209.62,208.368,192.5268,168.6453,UP,1
2021-04-21,208.57,207.52,208.51,193.3978,168.8217,DOWN,0
2021-04-22,203.89,208.08,207.618,194.1312,168.9996,UP,1
2021-04-23,206.13,205.01,207.232,194.8984,169.1928,UP,1
2021-04-26,206.97,207.36,206.626,195.6272,169.4188,UP,1
2021-04-27,207.45,206.75,206.602,196.2536,169.6209,UP,1
2021-04-28,210.24,206.75,206.936,196.9552,169.8239,UP,1
2021-04-29,212.97,210.93,208.752,197.6462,170.0297,DOWN,0
2021-04-30,212.32,212.04,209.99,198.324,170.2064,UP,1
2021-05-03,215.14,213.21,211.624,198.9842,170.3853,DOWN,0
2021-05-04,214.39,214.57,213.012,199.4592,170.5525,DOWN,0
2021-05-05,212.87,214.03,213.538,199.9882,170.7357,UP,1
2021-05-06,218.31,214.74,214.606,200.5924,170.9372,DOWN,0
2021-05-07,216.99,216.32,215.54,201.2676,171.1241,UP,1
2021-05-10,219.37,218.96,216.386,202.1368,171.3164,DOWN,0
2021-05-11,214.7,218.36,216.448,202.8626,171.5046,DOWN,0
2021-05-12,212.14,215.84,216.302,203.5128,171.6993,UP,1
2021-05-13,215.29,211.04,215.698,204.174,171.9008,UP,1
2021-05-14,216.21,216.29,215.542,204.9108,172.1024,UP,1
2021-05-17,216.84,216.46,215.036,205.5354,172.3127,DOWN,0
2021-05-18,213.37,216.34,214.77,205.9808,172.511,DOWN,0
2021-05-19,213.18,212.71,214.978,206.5426,172.7002,DOWN,0
2021-05-20,212.56,213.18,214.432,207.0366,172.8953,UP,1
2021-05-21,213.67,213.42,213.924,207.5118,173.0703,UP,1
2021-05-24,215.95,214.56,213.746,207.929,173.336,DOWN,0
2021-05-25,211.88,215.92,213.448,208.201,173.5559,UP,1
2021-05-26,212.78,211.6,213.368,208.554,173.7742,UP,1
2021-05-27,215.62,214.35,213.98,208.9076,174.0096,UP,1
2021-05-28,216.21,216.37,214.488,209.2624,174.2698,UP,1
2021-06-01,218.09,218.89,214.916,209.679,174.5396,UP,1
2021-06-02,218.92,218.0,216.324,210.136,174.7997,UP,1
2021-06-03,220.61,218.75,217.89,210.7186,175.0873,UP,1
2021-06-04,222.25,219.87,219.216,211.2812,175.3871,DOWN,0
2021-06-07,221.28,222.37,220.23,211.704,175.6797,UP,1
2021-06-08,222.66,220.9,221.144,212.094,175.9953,DOWN,0
