ticker,MCK US Equity,MCK US Equity,MCK US Equity,MCK US Equity,MCK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-01-24,31.35,31.7,26.169,29.856,32.7011,UP,1
2001-01-25,31.82,31.4,26.2209,30.334,32.6437,UP,1
2001-01-26,31.99,31.83,26.2771,31.192,32.6073,UP,1
2001-01-29,32.27,32.2,26.3322,31.846,32.5702,UP,1
2001-01-30,32.55,32.05,26.3927,31.996,32.5174,UP,1
2001-01-31,32.67,32.52,26.457,32.26,32.4908,UP,1
2001-02-01,33.02,33.25,26.5281,32.5,32.5237,UP,1
2001-02-02,33.25,33.1,26.5981,32.752,32.5587,UP,1
2001-02-05,33.55,33.71,26.6708,33.008,32.5772,UP,1
2001-02-06,33.7,33.3,26.7449,33.238,32.6037,DOWN,0
2001-02-07,33.67,33.9,26.8211,33.438,32.6346,UP,1
2001-02-08,34.08,34.0,26.8968,33.65,32.6575,DOWN,0
2001-02-09,34.0,34.15,26.9818,33.8,32.6762,DOWN,0
2001-02-12,34.0,34.0,27.0671,33.89,32.6987,DOWN,0
2001-02-13,33.85,34.0,27.1517,33.92,32.7182,DOWN,0
2001-02-14,33.29,33.85,27.2269,33.844,32.714,DOWN,0
2001-02-15,33.0,33.15,27.3022,33.628,32.704,UP,1
2001-02-16,33.04,32.75,27.3755,33.436,32.7012,DOWN,0
2001-02-20,32.75,33.05,27.4471,33.186,32.7042,UP,1
2001-02-21,33.68,33.0,27.5249,33.152,32.7244,DOWN,0
2001-02-22,32.53,33.69,27.5969,33.0,32.721,DOWN,0
2001-02-23,31.46,32.5,27.6642,32.692,32.6942,UP,1
2001-02-26,32.54,31.46,27.7403,32.592,32.7,DOWN,0
2001-02-27,30.71,32.5,27.8064,32.184,32.6742,DOWN,0
2001-02-28,29.08,30.5,27.8655,31.264,32.6038,UP,1
2001-03-01,29.85,29.15,27.9285,30.728,32.5428,UP,1
2001-03-02,30.34,30.75,27.9952,30.504,32.4836,DOWN,0
2001-03-05,29.99,29.95,28.0608,29.994,32.4064,DOWN,0
2001-03-06,29.15,29.85,28.1231,29.682,32.3034,DOWN,0
2001-03-07,28.61,29.1,28.1837,29.588,32.2036,UP,1
2001-03-08,29.36,28.95,28.2486,29.49,32.1178,DOWN,0
2001-03-09,28.75,28.9,28.3098,29.172,32.0048,DOWN,0
2001-03-12,27.9,28.75,28.3656,28.754,31.8728,DOWN,0
2001-03-13,27.28,27.65,28.4201,28.38,31.7054,DOWN,0
2001-03-14,26.49,27.0,28.4722,27.956,31.5174,DOWN,0
2001-03-15,25.99,26.49,28.5194,27.282,31.3344,DOWN,0
2001-03-16,24.98,25.05,28.5621,26.528,31.144,UP,1
2001-03-19,25.98,25.65,28.6095,26.144,31.0284,UP,1
2001-03-20,26.05,26.0,28.6554,25.898,30.9394,DOWN,0
2001-03-21,25.51,25.7,28.6904,25.702,30.8296,DOWN,0
2001-03-22,23.98,25.35,28.7184,25.3,30.6784,UP,1
2001-03-23,26.34,24.85,28.7536,25.572,30.5502,UP,1
2001-03-26,26.77,26.55,28.7896,25.73,30.4596,DOWN,0
2001-03-27,26.24,27.0,28.818,25.768,30.3544,UP,1
2001-03-28,26.26,26.25,28.8477,25.918,30.2498,UP,1
2001-03-29,26.75,26.3,28.8771,26.472,30.167,DOWN,0
2001-03-30,26.75,26.4,28.9043,26.554,30.1134,UP,1
2001-04-02,26.97,26.94,28.9304,26.594,30.0988,DOWN,0
2001-04-03,26.36,26.72,28.9506,26.618,30.046,DOWN,0
2001-04-04,25.73,25.8,28.9724,26.512,29.9246,UP,1
2001-04-05,25.91,25.74,28.9982,26.344,29.8158,DOWN,0
2001-04-06,25.34,25.95,29.0174,26.062,29.6862,UP,1
2001-04-09,25.41,25.34,29.0426,25.75,29.5546,UP,1
2001-04-10,26.0,25.45,29.072,25.678,29.4292,UP,1
2001-04-11,26.6,25.8,29.1028,25.852,29.3102,UP,1
2001-04-12,27.25,26.25,29.1372,26.12,29.2018,UP,1
2001-04-16,27.37,27.2,29.1718,26.526,29.0888,UP,1
2001-04-17,27.75,26.9,29.2081,26.994,28.9788,UP,1
2001-04-18,28.01,27.7,29.2434,27.396,28.868,DOWN,0
2001-04-19,27.56,27.95,29.2769,27.588,28.7452,DOWN,0
2001-04-20,27.35,27.05,29.303,27.608,28.6188,UP,1
2001-04-23,27.56,27.35,29.3277,27.646,28.4884,DOWN,0
2001-04-24,27.21,27.1,29.3537,27.538,28.3526,DOWN,0
2001-04-25,26.92,27.21,29.3724,27.32,28.211,DOWN,0
2001-04-26,26.79,26.8,29.3891,27.166,28.0698,UP,1
2001-04-27,27.21,27.3,29.4092,27.138,27.9482,UP,1
2001-04-30,30.84,31.0,29.4406,27.794,27.905,UP,1
2001-05-01,31.57,31.4,29.4707,28.666,27.8756,UP,1
2001-05-02,32.3,31.7,29.5048,29.742,27.8666,DOWN,0
2001-05-03,32.24,32.5,29.5404,30.832,27.8378,UP,1
2001-05-04,32.8,32.24,29.5797,31.95,27.8432,UP,1
2001-05-07,32.82,32.77,29.6169,32.346,27.8704,UP,1
2001-05-08,33.12,33.0,29.655,32.656,27.882,UP,1
2001-05-09,33.67,32.9,29.689,32.93,27.9412,UP,1
2001-05-10,33.9,33.76,29.7304,33.262,28.0376,DOWN,0
2001-05-11,33.5,33.7,29.7754,33.402,28.1106,DOWN,0
2001-05-14,33.4,33.5,29.8189,33.518,28.1718,DOWN,0
2001-05-15,33.29,33.4,29.8632,33.552,28.2378,UP,1
2001-05-16,34.15,33.25,29.9121,33.648,28.3378,DOWN,0
2001-05-17,34.0,34.05,29.959,33.668,28.4456,DOWN,0
2001-05-18,33.94,34.0,30.0083,33.756,28.5372,DOWN,0
2001-05-21,33.87,33.75,30.0577,33.85,28.6396,UP,1
2001-05-22,34.01,33.5,30.1081,33.994,28.7618,UP,1
2001-05-23,34.39,33.65,30.1594,34.042,28.904,DOWN,0
2001-05-24,33.41,34.25,30.2033,33.924,29.0424,UP,1
2001-05-25,34.58,33.6,30.2568,34.052,29.2142,DOWN,0
2001-05-29,34.03,34.45,30.3076,34.084,29.3952,DOWN,0
2001-05-30,34.02,34.03,30.3549,34.086,29.556,UP,1
2001-05-31,34.57,33.55,30.4021,34.122,29.7264,DOWN,0
2001-06-01,34.11,34.5,30.4486,34.262,29.8984,UP,1
2001-06-04,34.32,34.0,30.4958,34.21,30.1052,UP,1
2001-06-05,34.46,34.5,30.5425,34.296,30.2676,DOWN,0
2001-06-06,33.68,34.46,30.5859,34.228,30.4058,UP,1
2001-06-07,35.12,34.0,30.6362,34.338,30.5834,UP,1
2001-06-08,35.55,35.25,30.6864,34.626,30.7692,DOWN,0
2001-06-11,34.77,35.5,30.7347,34.716,30.9296,DOWN,0
2001-06-12,34.36,34.25,30.778,34.696,31.0818,UP,1
2001-06-13,34.97,34.75,30.8248,34.954,31.2418,DOWN,0
2001-06-14,34.71,35.18,30.8727,34.872,31.4088,UP,1
2001-06-15,34.78,34.7,30.921,34.718,31.5898,UP,1
2001-06-18,35.4,34.78,30.9726,34.844,31.7796,UP,1
2001-06-19,35.52,35.4,31.0255,35.076,31.9832,UP,1
2001-06-20,36.2,35.6,31.0824,35.322,32.199,UP,1
2001-06-21,36.8,36.15,31.142,35.74,32.415,DOWN,0
2001-06-22,36.5,36.4,31.2002,36.084,32.613,UP,1
