ticker,FTV US Equity,FTV US Equity,FTV US Equity,FTV US Equity,FTV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2017-06-07,52.9795,52.8875,52.8925,51.6461,46.7118,UP,1
2017-06-08,53.2638,53.0213,53.0113,51.7149,46.7638,DOWN,0
2017-06-09,52.7537,53.5146,52.9577,51.7724,46.8106,DOWN,0
2017-06-12,52.2269,52.7119,52.8139,51.8199,46.857,UP,1
2017-06-13,52.9042,52.4109,52.8256,51.8709,46.9057,DOWN,0
2017-06-14,52.6366,52.9126,52.7571,51.918,46.952,UP,1
2017-06-15,52.7119,52.3942,52.6467,51.9686,46.9965,UP,1
2017-06-16,53.5564,52.8206,52.8072,52.0321,47.0443,UP,1
2017-06-19,54.1752,53.7738,53.1969,52.1027,47.095,DOWN,0
2017-06-20,53.9076,53.9327,53.3976,52.1696,47.1445,DOWN,0
2017-06-21,53.824,53.9494,53.635,52.2259,47.1904,DOWN,0
2017-06-22,53.5982,53.7989,53.8123,52.2816,47.2379,DOWN,0
2017-06-23,53.5982,53.4728,53.8207,52.3418,47.2846,UP,1
2017-06-26,53.6066,53.7655,53.7069,52.405,47.3339,DOWN,0
2017-06-27,52.9878,53.339,53.523,52.4534,47.3875,UP,1
2017-06-28,53.8575,53.339,53.5297,52.5226,47.4426,DOWN,0
2017-06-29,52.5614,53.824,53.3223,52.5703,47.4962,UP,1
2017-06-30,52.9711,52.6116,53.1969,52.6161,47.552,DOWN,0
2017-07-03,52.9544,53.222,53.0664,52.6716,47.6056,UP,1
2017-07-05,53.1885,53.2052,53.1066,52.7081,47.6615,DOWN,0
2017-07-06,52.9544,53.0129,52.926,52.7248,47.7139,UP,1
2017-07-07,53.3892,53.1885,53.0915,52.7515,47.7708,UP,1
2017-07-10,54.0163,53.3641,53.3006,52.7897,47.8277,DOWN,0
2017-07-11,53.4895,54.0832,53.4076,52.8015,47.8793,UP,1
2017-07-12,54.0999,53.7153,53.5899,52.841,47.9371,DOWN,0
2017-07-13,53.8407,54.1417,53.7671,52.878,47.9921,UP,1
2017-07-14,53.9829,53.8658,53.8859,52.9096,48.0463,DOWN,0
2017-07-17,53.6317,53.9912,53.809,52.9316,48.0982,DOWN,0
2017-07-18,53.3056,53.5397,53.7722,52.9419,48.1528,UP,1
2017-07-19,53.4895,53.4645,53.6501,52.9599,48.2074,DOWN,0
2017-07-20,53.0965,53.523,53.5012,52.9733,48.258,DOWN,0
2017-07-21,52.8875,52.8791,53.2822,52.9847,48.31,UP,1
2017-07-24,52.9209,52.9544,53.14,52.9959,48.3617,DOWN,0
2017-07-25,52.737,53.1551,53.0263,53.0108,48.4134,DOWN,0
2017-07-26,51.9928,52.7704,52.727,53.0101,48.4646,UP,1
2017-07-27,52.3273,51.9761,52.5731,53.0143,48.5174,UP,1
2017-07-28,53.9076,53.0965,52.7771,53.0689,48.5812,UP,1
2017-07-31,54.1334,54.1501,53.0196,53.1288,48.647,UP,1
2017-08-01,54.518,54.1752,53.3758,53.185,48.7155,UP,1
2017-08-02,55.4211,54.61,54.0615,53.2499,48.7858,UP,1
2017-08-03,55.6301,55.4796,54.722,53.3154,48.8589,UP,1
2017-08-04,56.1653,55.7555,55.1736,53.3838,48.9344,UP,1
2017-08-07,56.2071,56.0231,55.5883,53.4437,49.009,DOWN,0
2017-08-08,55.9562,55.998,55.876,53.5007,49.0852,DOWN,0
