ticker,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-10-31,9.9095,10.5566,10.119,10.3465,10.4738,DOWN,0
2001-11-01,9.7953,9.8968,10.1241,10.2323,10.4538,UP,1
2001-11-02,10.1506,9.7826,10.1306,10.176,10.4418,UP,1
2001-11-05,10.1912,10.2521,10.1372,10.1207,10.4317,UP,1
2001-11-06,10.2014,10.1506,10.1425,10.0496,10.4185,UP,1
2001-11-07,10.2775,10.2014,10.148,10.1232,10.4127,UP,1
2001-11-08,10.2927,10.3029,10.1542,10.2227,10.4056,UP,1
2001-11-09,10.4171,10.3029,10.1607,10.276,10.3988,DOWN,0
2001-11-12,10.3688,10.4297,10.1666,10.3115,10.3915,UP,1
2001-11-13,10.5541,10.4272,10.1729,10.382,10.3874,UP,1
2001-11-14,10.6251,10.5566,10.1797,10.4516,10.3844,UP,1
2001-11-15,10.8891,10.6454,10.1876,10.5708,10.3865,DOWN,0
2001-11-16,10.7444,10.8611,10.194,10.6363,10.385,UP,1
2001-11-19,10.9119,10.9753,10.2012,10.7449,10.3888,UP,1
2001-11-20,10.9906,10.9119,10.209,10.8322,10.3985,DOWN,0
2001-11-21,10.9094,10.9906,10.2164,10.8891,10.4073,UP,1
2001-11-23,11.0819,10.9246,10.2246,10.9276,10.4214,DOWN,0
2001-11-26,10.9119,11.0819,10.2319,10.9611,10.4323,DOWN,0
2001-11-27,10.8865,10.9119,10.2379,10.956,10.4367,UP,1
2001-11-28,11.0032,10.9119,10.2448,10.9586,10.4424,DOWN,0
2001-11-29,10.9753,10.9753,10.2518,10.9718,10.4518,UP,1
2001-11-30,10.988,10.9829,10.2582,10.953,10.463,UP,1
2001-12-03,11.0286,10.9753,10.2649,10.9763,10.4772,UP,1
2001-12-04,11.1657,11.0388,10.2723,11.0322,10.4932,UP,1
2001-12-05,11.4448,11.2291,10.281,11.1205,10.514,UP,1
2001-12-06,11.5666,11.4194,10.2905,11.2387,10.5395,UP,1
2001-12-07,11.5793,11.5666,10.3001,11.357,10.565,DOWN,0
2001-12-10,11.394,11.5717,10.309,11.4301,10.5825,DOWN,0
2001-12-11,11.394,11.4448,10.3173,11.4758,10.6016,DOWN,0
2001-12-12,11.3052,11.3306,10.3253,11.4478,10.6246,DOWN,0
2001-12-13,11.0997,11.2925,10.3321,11.3545,10.6376,DOWN,0
2001-12-14,11.0388,11.0388,10.3387,11.2464,10.6505,UP,1
2001-12-17,11.1403,11.0642,10.346,11.1956,10.6679,DOWN,0
2001-12-18,11.0616,11.1403,10.3518,11.1291,10.6846,UP,1
2001-12-19,11.0895,11.0616,10.357,11.086,10.7028,UP,1
2001-12-20,11.1504,11.1022,10.3615,11.0961,10.7221,UP,1
2001-12-21,11.2418,11.1657,10.3658,11.1367,10.7401,DOWN,0
2001-12-24,11.1555,11.1783,10.3686,11.1398,10.7586,UP,1
2001-12-26,11.2291,11.1555,10.3721,11.1733,10.779,UP,1
2001-12-27,11.2519,11.2291,10.3765,11.2058,10.7964,DOWN,0
2001-12-28,11.1885,11.2519,10.3815,11.2134,10.8103,DOWN,0
2001-12-31,11.1149,11.1251,10.3867,11.188,10.8233,UP,1
2002-01-02,11.2253,11.1149,10.3934,11.2019,10.8389,UP,1
2002-01-03,11.2938,11.191,10.4018,11.2149,10.8591,UP,1
2002-01-04,11.4689,11.3243,10.4124,11.2583,10.8796,DOWN,0
2002-01-07,11.4461,11.4956,10.4228,11.3098,10.8995,DOWN,0
2002-01-08,11.4004,11.4461,10.433,11.3669,10.9201,UP,1
2002-01-09,12.1541,11.4004,10.4477,11.5526,10.9546,DOWN,0
2002-01-10,12.1427,12.1541,10.4626,11.7224,10.9881,UP,1
2002-01-11,12.1921,12.1693,10.4785,11.8671,11.0208,DOWN,0
2002-01-14,12.1427,12.1883,10.493,12.0064,11.0654,UP,1
2002-01-15,12.2378,12.1807,10.5073,12.1739,11.1143,DOWN,0
2002-01-16,12.2112,12.2416,10.5212,12.1853,11.1555,UP,1
2002-01-17,12.333,12.2112,10.5356,12.2234,11.1983,DOWN,0
2002-01-18,12.1769,12.1807,10.5492,12.2203,11.2379,DOWN,0
2002-01-22,12.1274,12.1617,10.5612,12.2173,11.2749,DOWN,0
2002-01-23,11.979,12.1046,10.5735,12.1655,11.3086,DOWN,0
2002-01-24,11.9752,11.979,10.5877,12.1183,11.3397,UP,1
2002-01-25,11.9904,11.979,10.6023,12.0498,11.3722,UP,1
2002-01-28,12.0779,11.9904,10.6164,12.03,11.4026,UP,1
2002-01-29,12.1807,12.0475,10.6326,12.0406,11.4338,UP,1
