ticker,VMC US Equity,VMC US Equity,VMC US Equity,VMC US Equity,VMC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2021-07-28,182.98,177.07,163.0215,177.964,176.6636,DOWN,0
2021-07-29,182.61,184.0,163.1841,179.276,176.5146,DOWN,0
2021-07-30,179.99,182.06,163.3546,179.646,176.4154,DOWN,0
2021-08-02,179.58,181.1,163.5138,180.364,176.3124,UP,1
2021-08-03,180.85,179.75,163.6889,181.202,176.24,DOWN,0
2021-08-04,179.66,171.14,163.8551,180.538,176.1398,DOWN,0
2021-08-05,177.8,180.58,164.016,179.576,176.0474,UP,1
2021-08-06,181.16,179.51,164.1946,179.81,175.992,UP,1
2021-08-09,183.23,181.59,164.3872,180.54,175.946,UP,1
2021-08-10,187.34,183.41,164.5998,181.838,176.0264,UP,1
2021-08-11,193.41,189.6,164.8398,184.588,176.2222,DOWN,0
2021-08-12,192.36,193.41,165.0961,187.5,176.4596,DOWN,0
2021-08-13,189.79,191.88,165.3346,189.226,176.5956,DOWN,0
2021-08-16,187.79,188.77,165.5861,190.138,176.7594,DOWN,0
2021-08-17,185.2,186.75,165.7946,189.71,176.9042,DOWN,0
2021-08-18,184.27,184.62,165.9918,187.882,177.0096,DOWN,0
2021-08-19,183.31,182.23,166.1611,186.072,177.1034,UP,1
2021-08-20,183.39,183.27,166.3273,184.792,177.3092,UP,1
2021-08-23,184.94,184.4,166.5702,184.222,177.5232,UP,1
2021-08-24,186.37,185.55,166.8147,184.456,177.816,UP,1
2021-08-25,189.58,186.55,167.0891,185.518,178.1664,DOWN,0
2021-08-26,187.53,189.43,167.3484,186.362,178.5094,UP,1
2021-08-27,187.95,189.09,167.588,187.274,178.9474,DOWN,0
2021-08-30,186.04,188.7,167.81,187.494,179.3514,DOWN,0
2021-08-31,185.93,187.27,168.0445,187.406,179.6912,DOWN,0
2021-09-01,185.85,186.35,168.2838,186.66,180.0102,DOWN,0
2021-09-02,183.0,185.85,168.4915,185.754,180.2636,DOWN,0
2021-09-03,180.31,182.75,168.6903,184.226,180.3518,DOWN,0
2021-09-07,177.05,179.02,168.8715,182.428,180.3406,DOWN,0
2021-09-08,176.0,176.36,169.051,180.442,180.3208,DOWN,0
2021-09-09,176.0,175.4,169.234,178.472,180.3588,UP,1
2021-09-10,177.69,177.14,169.4282,177.41,180.4312,UP,1
2021-09-13,177.93,178.91,169.5932,176.934,180.5132,DOWN,0
2021-09-14,175.73,177.89,169.7518,176.67,180.6082,DOWN,0
2021-09-15,174.98,175.73,169.915,176.466,180.6872,DOWN,0
2021-09-16,172.53,174.73,170.0794,175.772,180.649,DOWN,0
2021-09-17,169.88,171.59,170.2121,174.21,180.5892,DOWN,0
2021-09-20,169.42,167.07,170.355,172.508,180.479,UP,1
2021-09-21,171.56,170.5,170.4899,171.674,180.4154,UP,1
2021-09-22,174.25,173.34,170.629,171.528,180.4298,UP,1
2021-09-23,178.71,175.24,170.7921,172.764,180.4848,DOWN,0
2021-09-24,176.06,178.02,170.9502,174.0,180.4728,UP,1
2021-09-27,178.23,176.39,171.1326,175.762,180.5304,DOWN,0
2021-09-28,177.0,178.32,171.3288,176.85,180.6554,DOWN,0
2021-09-29,173.76,176.71,171.5032,176.752,180.6438,DOWN,0
2021-09-30,169.16,174.24,171.6718,174.842,180.5,UP,1
2021-10-01,172.94,169.0,171.8493,174.218,180.4378,DOWN,0
2021-10-04,171.49,172.16,172.0183,172.87,180.3048,DOWN,0
2021-10-05,169.28,171.42,172.167,171.326,180.1706,UP,1
2021-10-06,174.71,170.97,172.3144,171.516,180.1316,UP,1
2021-10-07,176.64,176.04,172.4749,173.012,180.0048,DOWN,0
2021-10-08,175.44,176.96,172.6358,173.512,179.8614,DOWN,0
2021-10-11,171.88,175.0,172.7816,173.59,179.6992,DOWN,0
2021-10-12,170.83,170.78,172.9197,173.9,179.5242,DOWN,0
2021-10-13,170.48,171.25,173.0412,173.054,179.3168,UP,1
