ticker,SGEN US Equity,SGEN US Equity,SGEN US Equity,SGEN US Equity,SGEN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2015-06-23,49.63,49.2,48.464,41.4466,36.8224,DOWN,0
2015-06-24,48.02,49.45,48.698,41.6573,36.855,DOWN,0
2015-06-25,47.69,48.05,48.564,41.8789,36.8929,DOWN,0
2015-06-26,47.45,47.89,48.396,42.0965,36.9202,DOWN,0
2015-06-29,46.87,47.06,47.932,42.3113,36.9501,UP,1
2015-06-30,48.4,47.44,47.686,42.5431,36.9851,DOWN,0
2015-07-01,47.82,48.83,47.646,42.7547,37.0201,DOWN,0
2015-07-02,47.65,48.0,47.638,42.9692,37.0508,DOWN,0
2015-07-06,47.5,47.27,47.648,43.1692,37.0814,DOWN,0
2015-07-07,46.48,47.59,47.57,43.356,37.1081,DOWN,0
2015-07-08,46.07,46.06,47.104,43.568,37.1354,UP,1
2015-07-09,46.52,46.59,46.844,43.8028,37.1679,UP,1
2015-07-10,47.09,46.86,46.732,44.0432,37.2028,UP,1
2015-07-13,47.47,47.14,46.726,44.3058,37.2315,UP,1
2015-07-14,48.65,47.53,47.16,44.5982,37.2701,UP,1
2015-07-15,49.46,49.09,47.838,44.9034,37.3105,DOWN,0
2015-07-16,49.42,50.1,48.418,45.1918,37.3657,UP,1
2015-07-17,51.61,49.28,49.322,45.4786,37.4378,DOWN,0
2015-07-20,50.69,51.73,49.966,45.7316,37.5067,UP,1
2015-07-21,51.13,50.79,50.462,45.9316,37.5833,DOWN,0
2015-07-22,51.02,50.61,50.774,46.157,37.6595,DOWN,0
2015-07-23,50.81,51.25,51.052,46.3706,37.7404,DOWN,0
2015-07-24,48.43,50.26,50.416,46.5434,37.8137,DOWN,0
2015-07-27,48.06,47.9,49.89,46.6998,37.8824,UP,1
2015-07-28,48.93,48.39,49.45,46.8796,37.9609,DOWN,0
2015-07-29,47.5,48.88,48.746,47.0196,38.0384,DOWN,0
2015-07-30,47.34,47.25,48.052,47.1418,38.1176,UP,1
2015-07-31,47.87,47.08,47.94,47.2394,38.1971,DOWN,0
2015-08-03,46.58,47.66,47.644,47.2958,38.2634,UP,1
2015-08-04,46.84,46.3,47.226,47.368,38.3239,DOWN,0
2015-08-05,46.83,46.83,47.092,47.4484,38.3848,DOWN,0
2015-08-06,44.98,46.79,46.62,47.498,38.4335,DOWN,0
2015-08-07,44.65,44.83,45.976,47.5278,38.4802,UP,1
2015-08-10,45.7,44.68,45.8,47.58,38.5345,DOWN,0
2015-08-11,45.01,45.39,45.434,47.6124,38.5816,DOWN,0
2015-08-12,44.79,44.86,45.026,47.5978,38.6258,UP,1
2015-08-13,45.12,44.77,45.054,47.5844,38.6744,DOWN,0
2015-08-14,44.0,44.9,44.924,47.551,38.7126,UP,1
2015-08-17,46.45,44.28,45.074,47.5426,38.7685,DOWN,0
2015-08-18,45.51,46.91,45.174,47.4968,38.8198,DOWN,0
2015-08-19,44.76,44.91,45.168,47.4638,38.8602,DOWN,0
2015-08-20,42.81,44.58,44.706,47.391,38.888,DOWN,0
2015-08-21,41.17,42.15,44.14,47.2754,38.911,DOWN,0
2015-08-24,38.74,38.35,42.598,47.112,38.9261,UP,1
