ticker,MRK US Equity,MRK US Equity,MRK US Equity,MRK US Equity,MRK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-05-09,69.7791,69.4,71.5846,69.003,67.9658,DOWN,0
2001-05-10,69.0571,69.7791,71.6099,69.2286,67.8994,DOWN,0
2001-05-11,68.5337,67.8658,71.6367,69.151,67.8306,UP,1
2001-05-14,69.2105,68.5337,71.6563,69.1131,67.7682,DOWN,0
2001-05-15,68.4976,68.5427,71.6704,69.0156,67.7027,UP,1
2001-05-16,70.483,68.9037,71.6995,69.1564,67.7144,UP,1
2001-05-17,70.9342,70.0318,71.7198,69.5318,67.7902,DOWN,0
2001-05-18,69.8513,71.2862,71.7307,69.7953,67.8373,DOWN,0
2001-05-21,69.8513,70.0769,71.7405,69.9235,67.8682,DOWN,0
2001-05-22,67.7756,69.1293,71.7463,69.7791,67.8853,DOWN,0
2001-05-23,66.7829,67.8658,71.7507,69.0391,67.9047,DOWN,0
