ticker,WDC US Equity,WDC US Equity,WDC US Equity,WDC US Equity,WDC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-04-09,4.04,4.0,4.6005,4.05,4.3632,UP,1
2001-04-10,4.67,4.3,4.6001,4.136,4.3666,UP,1
2001-04-11,4.79,4.7,4.6,4.324,4.3668,UP,1
2001-04-12,5.01,4.8,4.6003,4.502,4.3614,UP,1
2001-04-16,5.24,4.97,4.6025,4.75,4.3644,DOWN,0
2001-04-17,5.05,5.16,4.604,4.952,4.3714,UP,1
2001-04-18,5.34,5.11,4.6057,5.086,4.3822,UP,1
2001-04-19,5.37,5.3,4.6078,5.202,4.398,DOWN,0
2001-04-20,5.12,5.36,4.61,5.224,4.4132,DOWN,0
2001-04-23,5.03,5.12,4.6123,5.182,4.428,UP,1
2001-04-24,5.1,5.06,4.6153,5.192,4.446,UP,1
2001-04-25,5.22,5.1,4.6196,5.168,4.4532,DOWN,0
2001-04-26,5.06,5.19,4.6205,5.106,4.454,DOWN,0
2001-04-27,5.05,5.1,4.6189,5.092,4.457,UP,1
2001-04-30,5.32,5.05,4.6173,5.15,4.4588,UP,1
2001-05-01,5.49,5.28,4.6185,5.228,4.469,DOWN,0
2001-05-02,5.36,5.4,4.62,5.256,4.4862,UP,1
2001-05-03,5.39,5.31,4.622,5.322,4.5078,DOWN,0
2001-05-04,5.33,5.34,4.6246,5.378,4.5274,DOWN,0
2001-05-07,5.33,5.28,4.6278,5.38,4.548,DOWN,0
2001-05-08,5.24,5.31,4.6302,5.33,4.5632,DOWN,0
2001-05-09,5.11,5.17,4.6323,5.28,4.5796,DOWN,0
2001-05-10,5.05,5.12,4.6351,5.212,4.5982,DOWN,0
2001-05-11,4.97,5.05,4.6384,5.14,4.6206,DOWN,0
2001-05-14,4.95,4.96,4.6431,5.064,4.6416,UP,1
2001-05-15,4.99,4.91,4.6484,5.014,4.6654,UP,1
2001-05-16,5.25,4.97,4.654,5.042,4.6876,DOWN,0
2001-05-17,5.09,5.1,4.6591,5.05,4.701,DOWN,0
2001-05-18,5.02,5.07,4.6642,5.06,4.7134,UP,1
2001-05-21,5.1,5.02,4.671,5.09,4.7314,DOWN,0
2001-05-22,4.92,5.05,4.6765,5.076,4.7478,DOWN,0
2001-05-23,4.87,4.92,4.6812,5.0,4.7692,UP,1
2001-05-24,4.9,4.9,4.6869,4.962,4.7902,DOWN,0
2001-05-25,4.87,4.92,4.6935,4.932,4.805,DOWN,0
2001-05-29,4.5,4.8,4.6979,4.812,4.8146,DOWN,0
2001-05-30,4.22,4.45,4.7005,4.672,4.814,UP,1
2001-05-31,4.31,4.25,4.7033,4.56,4.8222,UP,1
2001-06-01,4.44,4.36,4.7049,4.468,4.8316,DOWN,0
2001-06-04,4.37,4.45,4.7052,4.368,4.839,UP,1
2001-06-05,4.39,4.3,4.7053,4.346,4.8424,DOWN,0
2001-06-06,4.05,4.45,4.6974,4.312,4.8394,DOWN,0
2001-06-07,4.0,4.1,4.6902,4.25,4.8316,DOWN,0
2001-06-08,3.98,4.0,4.6838,4.158,4.8246,DOWN,0
2001-06-11,3.61,4.0,4.6772,4.006,4.8056,DOWN,0
2001-06-12,3.5,3.65,4.6672,3.828,4.7804,DOWN,0
2001-06-13,3.29,3.6,4.6565,3.676,4.7502,DOWN,0
2001-06-14,3.22,3.2,4.6423,3.52,4.7298,UP,1
