ticker,REG US Equity,REG US Equity,REG US Equity,REG US Equity,REG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-09-27,21.625,21.25,21.1432,21.4875,22.7288,UP,1
2000-09-28,22.375,21.75,21.1585,21.65,22.7375,UP,1
2000-09-29,22.9375,22.625,21.1782,21.9125,22.7413,DOWN,0
2000-10-02,22.1875,22.8125,21.1941,22.075,22.72,DOWN,0
2000-10-03,22.1875,22.25,21.2023,22.2625,22.6963,UP,1
2000-10-04,22.3125,22.1875,21.2116,22.4,22.6788,DOWN,0
2000-10-05,22.25,22.1875,21.2213,22.375,22.6575,UP,1
2000-10-06,22.5,22.5,21.2326,22.2875,22.6413,DOWN,0
2000-10-09,22.5,22.6875,21.2435,22.35,22.6225,DOWN,0
2000-10-10,22.375,22.5,21.2548,22.3875,22.59,UP,1
2000-10-11,22.9375,22.3125,21.2666,22.5125,22.5825,DOWN,0
2000-10-12,22.4375,22.6875,21.2757,22.55,22.5525,UP,1
2000-10-13,22.8125,22.4375,21.2898,22.6125,22.5363,DOWN,0
2000-10-16,22.625,22.8125,21.3029,22.6375,22.5175,DOWN,0
2000-10-17,22.5625,22.6875,21.316,22.675,22.4975,UP,1
2000-10-18,22.625,22.6875,21.3291,22.6125,22.475,DOWN,0
2000-10-19,22.625,22.6875,21.3429,22.65,22.4587,DOWN,0
2000-10-20,22.625,22.75,21.356,22.6125,22.4475,DOWN,0
2000-10-23,22.625,22.5,21.3657,22.6125,22.44,DOWN,0
2000-10-24,22.4375,22.625,21.3741,22.5875,22.4237,UP,1
2000-10-25,22.5,22.375,21.3829,22.5625,22.4113,UP,1
2000-10-26,22.625,22.4375,21.3935,22.5625,22.4,DOWN,0
2000-10-27,22.4375,22.875,21.4041,22.525,22.3838,DOWN,0
2000-10-30,22.4375,22.375,21.4154,22.4875,22.3663,UP,1
2000-10-31,22.5,22.5625,21.4266,22.5,22.3525,DOWN,0
2000-11-01,22.3125,22.5,21.4357,22.4625,22.3388,UP,1
2000-11-02,22.375,22.3125,21.4451,22.4125,22.335,DOWN,0
2000-11-03,22.125,22.375,21.4541,22.35,22.3275,UP,1
2000-11-06,22.1875,22.0,21.4657,22.3,22.3163,DOWN,0
2000-11-07,21.75,22.1875,21.4751,22.15,22.2987,UP,1
2000-11-08,21.9375,21.75,21.4845,22.075,22.2913,DOWN,0
2000-11-09,21.6875,21.5,21.4932,21.9375,22.2725,DOWN,0
2000-11-10,21.5,21.6875,21.5051,21.8125,22.25,DOWN,0
2000-11-13,21.4375,21.625,21.5145,21.6625,22.2263,DOWN,0
2000-11-14,20.8125,21.375,21.5204,21.475,22.2,UP,1
2000-11-15,21.625,20.9375,21.5301,21.4125,22.19,DOWN,0
2000-11-16,21.5,21.5625,21.5382,21.375,22.1788,DOWN,0
2000-11-17,21.4375,21.625,21.546,21.3625,22.16,DOWN,0
2000-11-20,21.3125,21.4375,21.5535,21.3375,22.145,DOWN,0
2000-11-21,21.3125,21.25,21.5601,21.4375,22.1163,UP,1
2000-11-22,21.5625,21.125,21.5701,21.425,22.0913,UP,1
2000-11-24,21.625,21.5625,21.582,21.45,22.075,UP,1
2000-11-27,21.6875,21.5,21.5951,21.5,22.0663,DOWN,0
2000-11-28,21.375,21.5,21.6098,21.5125,22.0613,UP,1
2000-11-29,21.625,21.5,21.6241,21.575,22.055,UP,1
2000-11-30,21.75,21.5625,21.6373,21.6125,22.0563,UP,1
2000-12-01,22.0625,21.625,21.6529,21.7,22.0663,DOWN,0
2000-12-04,22.0,22.125,21.6685,21.7625,22.0738,UP,1
2000-12-05,22.9375,22.0,21.6888,22.075,22.105,DOWN,0
2000-12-06,22.9375,22.8125,21.7091,22.3375,22.1388,DOWN,0
2000-12-07,22.5625,22.875,21.727,22.5,22.1575,UP,1
2000-12-08,23.0,22.5,21.7476,22.6875,22.17,UP,1
2000-12-11,23.1875,23.0,21.7676,22.925,22.175,UP,1
2000-12-12,23.625,23.125,21.7912,23.0625,22.2038,DOWN,0
2000-12-13,23.4375,23.625,21.814,23.1625,22.2288,UP,1
2000-12-14,23.5,23.5,21.8359,23.35,22.2525,DOWN,0
2000-12-15,23.375,23.375,21.8565,23.425,22.275,UP,1
2000-12-18,23.5625,23.375,21.8784,23.5,22.2963,DOWN,0
2000-12-19,23.0625,23.375,21.898,23.3875,22.3075,DOWN,0
2000-12-20,23.0625,23.1875,21.9168,23.3125,22.3213,DOWN,0
2000-12-21,23.0625,23.0625,21.9334,23.225,22.3238,UP,1
2000-12-22,23.3125,23.0625,21.9515,23.2125,22.3413,UP,1
2000-12-26,23.5,23.375,21.9724,23.2,22.355,UP,1
2000-12-27,23.625,23.5,21.9952,23.3125,22.375,UP,1
2000-12-28,23.75,23.625,22.019,23.45,22.3988,DOWN,0
2000-12-29,23.6875,23.8125,22.039,23.575,22.42,DOWN,0
2001-01-02,23.6875,23.75,22.0599,23.65,22.4413,UP,1
2001-01-03,23.75,23.8125,22.0815,23.7,22.4638,DOWN,0
2001-01-04,23.6875,23.75,22.1002,23.7125,22.485,DOWN,0
2001-01-05,23.3125,23.6875,22.1162,23.625,22.5025,DOWN,0
2001-01-08,23.1875,23.3125,22.1334,23.525,22.5163,DOWN,0
2001-01-09,22.9375,23.25,22.1505,23.375,22.5225,UP,1
2001-01-10,23.0,22.9375,22.1674,23.225,22.5338,UP,1
2001-01-11,23.1875,23.0625,22.1855,23.125,22.5487,DOWN,0
2001-01-12,23.0625,23.3125,22.204,23.075,22.56,UP,1
2001-01-16,23.375,23.0625,22.224,23.1125,22.5813,DOWN,0
2001-01-17,23.375,23.375,22.2421,23.2,22.6013,DOWN,0
2001-01-18,23.3125,23.3125,22.2621,23.2625,22.625,UP,1
2001-01-19,23.375,23.1875,22.279,23.3,22.6488,UP,1
2001-01-22,23.5625,23.375,22.2971,23.4,22.685,UP,1
2001-01-23,24.0,23.625,22.3162,23.525,22.7263,DOWN,0
2001-01-24,23.75,23.875,22.3334,23.6,22.7675,DOWN,0
2001-01-25,23.5625,23.75,22.3493,23.65,22.8088,DOWN,0
2001-01-26,23.5625,23.5,22.364,23.6875,22.8513,UP,1
2001-01-29,23.64,23.56,22.3787,23.703,22.9078,UP,1
2001-01-30,23.95,23.69,22.3951,23.693,22.9543,UP,1
2001-01-31,24.25,24.0,22.411,23.793,23.0093,DOWN,0
2001-02-01,24.1,24.2,22.4271,23.9005,23.0626,UP,1
2001-02-02,24.31,24.05,22.4443,24.05,23.1225,UP,1
2001-02-05,24.69,24.38,22.4624,24.26,23.1901,DOWN,0
2001-02-06,24.19,24.72,22.4812,24.308,23.2426,UP,1
2001-02-07,24.22,24.25,22.5004,24.302,23.2945,DOWN,0
2001-02-08,24.02,23.95,22.5168,24.286,23.3412,DOWN,0
2001-02-09,23.91,24.05,22.5291,24.206,23.3919,UP,1
2001-02-12,24.47,24.01,22.5421,24.162,23.4488,DOWN,0
2001-02-13,24.05,24.47,22.5524,24.134,23.4948,UP,1
2001-02-14,24.15,23.98,22.5569,24.12,23.5365,DOWN,0
2001-02-15,24.08,24.15,22.5626,24.132,23.5781,DOWN,0
2001-02-16,24.0,24.03,22.5723,24.15,23.5994,DOWN,0
2001-02-20,23.85,24.0,22.5815,24.026,23.6176,DOWN,0
2001-02-21,23.81,23.83,22.5893,23.978,23.6426,DOWN,0
2001-02-22,23.7,23.76,22.6,23.888,23.6566,DOWN,0
2001-02-23,23.21,23.7,22.6076,23.714,23.657,UP,1
2001-02-26,23.8,23.25,22.6194,23.674,23.6605,UP,1
2001-02-27,23.85,24.2,22.6312,23.674,23.6688,UP,1
2001-02-28,23.95,24.08,22.6422,23.702,23.6778,UP,1
2001-03-01,24.08,24.35,22.6551,23.778,23.6919,UP,1
2001-03-02,24.35,24.08,22.6687,24.006,23.7076,DOWN,0
2001-03-05,24.33,24.6,22.6832,24.112,23.7329,UP,1
2001-03-06,24.5,24.4,22.7,24.242,23.7617,UP,1
2001-03-07,24.64,25.0,22.7176,24.38,23.7932,DOWN,0
2001-03-08,24.45,24.6,22.733,24.454,23.816,DOWN,0
2001-03-09,24.45,24.65,22.7496,24.474,23.835,DOWN,0
2001-03-12,24.29,24.4,22.7673,24.466,23.8483,DOWN,0
2001-03-13,24.0,24.29,22.7845,24.366,23.8533,UP,1
2001-03-14,24.02,24.0,22.8008,24.242,23.8599,DOWN,0
2001-03-15,23.8,23.96,22.8136,24.112,23.8622,DOWN,0
2001-03-16,23.57,24.0,22.8261,23.936,23.8586,UP,1
2001-03-19,23.87,23.6,22.8405,23.852,23.8622,UP,1
2001-03-20,24.01,23.87,22.8543,23.854,23.8762,DOWN,0
2001-03-21,23.63,24.01,22.8674,23.776,23.885,DOWN,0
2001-03-22,23.42,23.63,22.8795,23.7,23.8947,UP,1
2001-03-23,23.66,23.47,22.891,23.718,23.9079,UP,1
2001-03-26,24.41,23.72,22.9061,23.826,23.9324,UP,1
2001-03-27,24.5,24.41,22.9211,23.924,23.9611,DOWN,0
2001-03-28,24.02,24.55,22.9337,24.002,23.974,UP,1
2001-03-29,24.15,23.95,22.9457,24.148,23.9895,UP,1
2001-03-30,25.0,24.15,22.9595,24.416,24.0233,DOWN,0
2001-04-02,24.65,25.1,22.9712,24.464,24.0488,DOWN,0
2001-04-03,24.64,24.25,22.9831,24.492,24.0703,DOWN,0
2001-04-04,24.45,24.6,22.9932,24.578,24.0793,UP,1
2001-04-05,24.55,24.45,23.0044,24.658,24.0953,DOWN,0
2001-04-06,24.4,24.55,23.0157,24.538,24.1121,UP,1
2001-04-09,24.55,24.37,23.0285,24.518,24.1318,UP,1
2001-04-10,24.59,24.45,23.0421,24.508,24.1508,DOWN,0
2001-04-11,24.14,24.5,23.0528,24.446,24.1546,UP,1
2001-04-12,24.5,24.2,23.0659,24.436,24.1596,DOWN,0
2001-04-16,24.49,24.5,23.0783,24.454,24.1674,DOWN,0
2001-04-17,24.48,24.49,23.0882,24.44,24.1708,UP,1
2001-04-18,24.49,24.48,23.092,24.42,24.1668,UP,1
2001-04-19,24.5,24.49,23.1011,24.492,24.173,DOWN,0
2001-04-20,24.45,24.4,23.1102,24.482,24.1776,DOWN,0
2001-04-23,24.24,24.47,23.1158,24.432,24.182,UP,1
2001-04-24,24.3,24.34,23.1217,24.396,24.1898,DOWN,0
2001-04-25,24.2,24.3,23.1292,24.338,24.1844,UP,1
2001-04-26,24.22,24.27,23.1363,24.282,24.1878,UP,1
2001-04-27,24.5,24.47,23.1469,24.292,24.1948,UP,1
2001-04-30,24.95,24.57,23.1595,24.434,24.2122,DOWN,0
2001-05-01,24.6,24.95,23.1709,24.494,24.2242,DOWN,0
2001-05-02,24.5,24.5,23.1828,24.554,24.2372,DOWN,0
2001-05-03,24.12,24.49,23.1931,24.534,24.2434,UP,1
2001-05-04,24.19,24.18,23.2043,24.472,24.2532,DOWN,0
2001-05-07,24.16,24.12,23.2114,24.314,24.2722,DOWN,0
2001-05-08,24.06,24.2,23.2154,24.206,24.2774,DOWN,0
2001-05-09,23.41,23.55,23.2156,23.988,24.2686,DOWN,0
2001-05-10,23.3,23.5,23.2162,23.824,24.2556,UP,1
2001-05-11,23.53,23.35,23.2172,23.692,24.2446,UP,1
2001-05-14,23.55,23.49,23.2184,23.57,24.2286,UP,1
2001-05-15,23.89,23.55,23.2207,23.536,24.2198,DOWN,0
2001-05-16,23.77,23.83,23.2195,23.608,24.2052,UP,1
2001-05-17,23.85,23.77,23.2222,23.718,24.1894,DOWN,0
2001-05-18,23.8,23.8,23.2215,23.772,24.1764,UP,1
2001-05-21,23.93,23.8,23.2231,23.848,24.166,UP,1
2001-05-22,24.24,23.93,23.2265,23.918,24.165,DOWN,0
2001-05-23,24.21,24.24,23.2297,24.006,24.1692,UP,1
2001-05-24,24.25,24.28,23.2322,24.086,24.1738,DOWN,0
2001-05-25,24.13,24.15,23.2357,24.152,24.1804,UP,1
2001-05-29,24.17,24.2,23.2406,24.2,24.1924,DOWN,0
2001-05-30,24.06,24.15,23.2459,24.164,24.1962,UP,1
2001-05-31,24.21,24.06,23.2507,24.164,24.2002,UP,1
2001-06-01,24.62,24.25,23.2581,24.238,24.22,UP,1
2001-06-04,24.8,24.6,23.2662,24.372,24.2476,UP,1
2001-06-05,25.25,24.86,23.2762,24.588,24.2794,DOWN,0
2001-06-06,25.23,25.25,23.2858,24.822,24.2958,UP,1
2001-06-07,25.28,25.23,23.2963,25.036,24.3114,DOWN,0
2001-06-08,25.25,25.28,23.3075,25.162,24.336,DOWN,0
2001-06-11,25.12,25.2,23.3203,25.226,24.3554,UP,1
2001-06-12,25.35,25.17,23.3345,25.246,24.3624,UP,1
2001-06-13,25.39,25.4,23.3477,25.278,24.3772,DOWN,0
2001-06-14,25.38,25.4,23.3615,25.298,24.392,DOWN,0
2001-06-15,25.35,25.43,23.3767,25.318,24.41,DOWN,0
2001-06-18,25.2,25.3,23.3896,25.334,24.423,DOWN,0
