ticker,FBHS US Equity,FBHS US Equity,FBHS US Equity,FBHS US Equity,FBHS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2013-01-11,31.52,31.15,31.286,29.3576,25.0859,DOWN,0
2013-01-14,31.0,31.33,31.308,29.4088,25.1326,DOWN,0
2013-01-15,31.0,31.03,31.264,29.429,25.1764,DOWN,0
2013-01-16,30.87,31.0,31.128,29.458,25.2197,UP,1
2013-01-17,31.17,31.05,31.112,29.4892,25.2653,UP,1
2013-01-18,31.69,31.28,31.146,29.5364,25.3152,UP,1
2013-01-22,31.78,31.78,31.302,29.5914,25.366,UP,1
2013-01-23,31.95,31.78,31.492,29.671,25.4191,UP,1
2013-01-24,32.08,32.04,31.734,29.7528,25.4725,UP,1
2013-01-25,32.38,32.21,31.976,29.8418,25.5294,DOWN,0
2013-01-28,32.28,32.58,32.094,29.9232,25.5898,UP,1
2013-01-29,32.71,32.25,32.28,30.0296,25.6506,DOWN,0
2013-01-30,32.34,32.75,32.358,30.1388,25.7074,UP,1
2013-01-31,32.74,32.33,32.49,30.2556,25.7677,UP,1
2013-02-01,33.1,33.0,32.634,30.3578,25.8295,DOWN,0
2013-02-04,32.43,32.82,32.664,30.4254,25.8882,DOWN,0
2013-02-05,32.36,32.63,32.594,30.4928,25.9466,UP,1
2013-02-06,32.8,32.38,32.686,30.56,26.0086,UP,1
2013-02-07,33.25,33.19,32.788,30.65,26.0713,UP,1
2013-02-08,33.61,33.26,32.89,30.7526,26.1374,DOWN,0
2013-02-11,33.55,33.64,33.114,30.8476,26.2029,UP,1
2013-02-12,34.6,33.9,33.562,30.9464,26.2723,UP,1
2013-02-13,34.62,34.8,33.926,31.039,26.3422,DOWN,0
2013-02-14,34.22,34.52,34.12,31.1284,26.4007,DOWN,0
2013-02-15,34.03,34.25,34.204,31.209,26.4571,DOWN,0
2013-02-19,33.9,34.14,34.274,31.3042,26.5094,DOWN,0
2013-02-20,32.56,33.87,33.866,31.3744,26.5529,UP,1
2013-02-21,33.42,32.61,33.626,31.4636,26.6031,UP,1
2013-02-22,34.13,33.5,33.608,31.5712,26.6569,DOWN,0
2013-02-25,33.1,34.27,33.422,31.658,26.7054,UP,1
2013-02-26,33.9,33.38,33.422,31.7426,26.7592,UP,1
2013-02-27,34.55,33.82,33.82,31.843,26.8172,DOWN,0
2013-02-28,34.55,34.57,34.046,31.9476,26.8741,DOWN,0
2013-03-01,34.37,34.21,34.094,32.0412,26.9257,UP,1
2013-03-04,34.92,34.18,34.458,32.1368,26.9816,UP,1
2013-03-05,35.47,35.0,34.772,32.246,27.0409,UP,1
2013-03-06,36.04,35.48,35.07,32.3602,27.1033,DOWN,0
2013-03-07,35.85,35.97,35.33,32.4788,27.1701,UP,1
2013-03-08,36.02,36.13,35.66,32.6034,27.2413,DOWN,0
2013-03-11,35.85,36.06,35.846,32.7406,27.31,DOWN,0
2013-03-12,35.59,35.87,35.87,32.8698,27.3777,UP,1
2013-03-13,35.96,35.58,35.854,33.012,27.4475,UP,1
2013-03-14,36.33,36.03,35.95,33.1542,27.5173,UP,1
2013-03-15,36.35,36.36,36.016,33.2666,27.5861,DOWN,0
2013-03-18,36.26,35.85,36.098,33.38,27.6519,UP,1
2013-03-19,36.37,36.47,36.254,33.4896,27.7195,UP,1
