ticker,CZR US Equity,CZR US Equity,CZR US Equity,CZR US Equity,CZR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2021-06-15,106.5,105.93,109.132,100.8544,77.8557,UP,1
2021-06-16,107.09,105.22,108.384,101.1462,78.1459,DOWN,0
2021-06-17,103.83,105.81,106.87,101.371,78.436,DOWN,0
2021-06-18,100.06,100.86,104.82,101.4492,78.702,UP,1
2021-06-21,103.82,101.83,104.26,101.599,78.9778,UP,1
2021-06-22,104.31,103.6424,103.822,101.7986,79.2612,DOWN,0
2021-06-23,103.22,104.4,103.048,101.9484,79.5283,UP,1
2021-06-24,104.73,104.67,103.228,102.1776,79.8022,DOWN,0
2021-06-25,102.43,104.707,103.702,102.363,80.0629,DOWN,0
2021-06-28,100.54,102.26,103.046,102.501,80.312,UP,1
2021-06-29,100.88,100.34,102.36,102.7436,80.5658,UP,1
2021-06-30,103.75,100.92,102.466,103.021,80.8076,DOWN,0
2021-07-01,102.9,104.975,102.1,103.1934,81.0272,DOWN,0
2021-07-02,102.41,103.6,102.096,103.3592,81.2595,DOWN,0
2021-07-06,98.45,101.96,101.678,103.4134,81.4748,DOWN,0
2021-07-07,95.55,98.4,100.612,103.3848,81.6715,DOWN,0
2021-07-08,94.56,92.43,98.774,103.2406,81.8722,UP,1
2021-07-09,96.86,96.08,97.566,103.1258,82.0659,UP,1
2021-07-12,98.35,97.68,96.754,103.1034,82.2833,DOWN,0
2021-07-13,96.77,96.95,96.418,103.082,82.5028,DOWN,0
2021-07-14,94.52,97.91,96.212,103.0342,82.69,DOWN,0
2021-07-15,94.47,93.44,96.194,103.013,82.8714,DOWN,0
2021-07-16,89.9,95.53,94.802,102.7514,83.0484,DOWN,0
2021-07-19,87.77,86.715,92.686,102.4624,83.2069,UP,1
2021-07-20,91.3,88.12,91.592,102.1734,83.378,UP,1
2021-07-21,93.99,92.51,91.486,101.9596,83.5638,DOWN,0
2021-07-22,92.52,93.69,91.096,101.7946,83.741,DOWN,0
2021-07-23,90.31,93.57,91.178,101.7526,83.9176,UP,1
2021-07-26,93.25,90.63,92.274,101.7302,84.1051,DOWN,0
2021-07-27,92.51,92.76,92.516,101.6082,84.2939,DOWN,0
2021-07-28,92.37,93.27,92.192,101.4482,84.494,DOWN,0
2021-07-29,89.86,93.0,91.66,101.2424,84.6736,DOWN,0
2021-07-30,87.36,88.8,91.07,101.0596,84.8331,DOWN,0
2021-08-02,86.5,88.33,89.72,100.7778,84.989,UP,1
2021-08-03,86.78,86.78,88.574,100.5092,85.1449,DOWN,0
2021-08-04,84.99,88.39,87.098,100.1074,85.295,UP,1
2021-08-05,90.5,84.99,87.226,99.7762,85.4804,DOWN,0
2021-08-06,90.5,91.0,87.854,99.4542,85.6605,UP,1
2021-08-09,90.84,92.0,88.722,99.1124,85.8525,DOWN,0
2021-08-10,90.57,91.42,89.48,98.7748,86.0347,UP,1
2021-08-11,92.95,90.1,91.072,98.4428,86.226,UP,1
2021-08-12,93.76,93.11,91.724,98.124,86.436,DOWN,0
2021-08-13,91.02,93.97,91.828,97.753,86.6487,DOWN,0
2021-08-16,87.4,89.7,91.14,97.2882,86.8595,DOWN,0
2021-08-17,84.11,86.11,89.848,96.7584,87.0495,UP,1
2021-08-18,85.01,83.89,88.26,96.2246,87.2505,DOWN,0
2021-08-19,82.47,83.82,86.002,95.6574,87.4295,UP,1
2021-08-20,85.64,82.05,84.926,95.1422,87.6072,UP,1
2021-08-23,89.28,86.5,85.302,94.7216,87.7925,UP,1
2021-08-24,93.86,89.98,87.252,94.4664,87.9812,UP,1
2021-08-25,97.7,94.0,89.79,94.2904,88.1853,UP,1
2021-08-26,99.99,98.07,93.294,94.1484,88.3698,UP,1
2021-08-27,104.24,100.09,97.014,94.1566,88.5896,DOWN,0
2021-08-30,102.12,103.955,99.582,94.1978,88.8054,DOWN,0
