ticker,BKNG US Equity,BKNG US Equity,BKNG US Equity,BKNG US Equity,BKNG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-11-13,630.31,629.36,630.418,612.7449,641.7624,DOWN,0
2012-11-14,616.4,634.03,626.776,612.9815,642.2324,UP,1
2012-11-15,617.52,614.99,624.706,613.3941,642.6725,DOWN,0
2012-11-16,614.776,616.94,622.4873,613.7861,643.0669,UP,1
2012-11-19,625.499,624.54,620.901,614.216,643.5253,UP,1
2012-11-20,635.58,627.52,621.955,614.4966,643.9683,UP,1
2012-11-21,639.58,636.23,626.591,615.1218,644.4825,UP,1
2012-11-23,641.91,642.03,631.469,615.6048,645.0461,DOWN,0
2012-11-26,639.99,640.87,636.5117,616.0056,645.5542,DOWN,0
2012-11-27,636.75,638.86,638.762,616.202,646.0373,UP,1
2012-11-28,658.05,635.92,643.256,616.6134,646.6024,UP,1
2012-11-29,665.74,661.25,648.488,617.0612,647.0753,DOWN,0
2012-11-30,663.19,663.24,652.744,617.5104,647.5066,UP,1
2012-12-03,667.8,670.0,658.306,618.0858,647.9941,DOWN,0
2012-12-04,663.81,665.5,663.718,618.6866,648.4565,UP,1
2012-12-05,664.23,664.38,664.954,619.2482,648.8651,DOWN,0
2012-12-06,664.14,664.0,664.634,619.9074,649.262,DOWN,0
2012-12-07,659.1,667.0,663.816,620.4544,649.6189,DOWN,0
2012-12-10,625.96,645.89,655.448,620.5318,649.8117,DOWN,0
2012-12-11,623.22,631.01,647.33,620.3858,649.9758,UP,1
2012-12-12,624.73,626.5,639.43,620.499,650.1417,DOWN,0
2012-12-13,613.08,625.51,629.218,620.2634,650.0433,UP,1
2012-12-14,613.54,610.32,620.106,620.2086,649.9759,UP,1
2012-12-17,616.87,613.03,618.288,620.0896,649.8737,UP,1
2012-12-18,632.74,620.3,620.192,620.0436,649.8081,DOWN,0
2012-12-19,627.23,632.74,620.692,619.9504,649.7308,UP,1
2012-12-20,630.83,628.98,624.242,619.9478,649.7362,DOWN,0
2012-12-21,618.88,622.63,625.31,619.9676,649.6226,DOWN,0
2012-12-24,617.34,614.36,625.404,620.2662,649.4402,DOWN,0
2012-12-26,602.37,615.16,619.33,620.3508,649.2148,UP,1
2012-12-27,610.03,604.43,615.89,620.6884,649.0102,DOWN,0
2012-12-28,608.88,606.6,611.5,620.8456,648.7857,UP,1
2012-12-31,620.39,607.15,611.802,621.298,648.6339,UP,1
2013-01-02,638.4,637.83,616.014,622.1012,648.5396,UP,1
