ticker,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2004-09-01,13.1893,13.1893,13.2402,16.2575,17.1043,DOWN,0
2004-09-02,13.0754,13.0754,13.134,16.1369,17.1063,DOWN,0
2004-09-03,12.8542,12.8542,13.0599,16.0216,17.1083,DOWN,0
2004-09-29,12.8005,12.8005,12.9188,15.9066,17.1116,DOWN,0
2004-09-30,12.7708,12.7708,12.938,15.7849,17.1148,UP,1
2004-10-01,13.406,13.406,12.9814,15.672,17.1194,UP,1
2004-10-04,13.8264,13.8264,13.1316,15.582,17.1241,DOWN,0
2004-10-05,13.6593,13.6593,13.2926,15.5048,17.1287,DOWN,0
2004-10-06,13.5963,13.5963,13.4518,15.428,17.1304,UP,1
2004-10-07,13.7229,13.7229,13.6422,15.3477,17.1306,DOWN,0
2004-10-08,13.2783,13.2783,13.6166,15.2588,17.127,DOWN,0
2004-10-11,13.0551,13.0551,13.4624,15.1815,17.119,DOWN,0
