ticker,RJF US Equity,RJF US Equity,RJF US Equity,RJF US Equity,RJF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2007-11-07,21.72,22.2467,21.2586,22.5333,22.6995,UP,1
2007-11-08,22.0267,22.0,21.2641,22.2587,22.7003,DOWN,0
2007-11-09,21.5667,21.82,21.2676,22.0013,22.702,DOWN,0
2007-11-12,21.3467,21.5733,21.2708,21.836,22.6917,UP,1
2007-11-13,22.2333,21.5533,21.2774,21.7787,22.6844,DOWN,0
2007-11-14,21.92,22.56,21.2806,21.8187,22.6804,DOWN,0
2007-11-15,21.26,21.8133,21.2805,21.6653,22.6592,DOWN,0
2007-11-16,20.9733,21.3267,21.279,21.5467,22.6436,DOWN,0
2007-11-19,19.4933,20.78,21.2704,21.176,22.5928,UP,1
2007-11-20,19.6667,19.6733,21.2625,20.6627,22.5404,UP,1
2007-11-21,19.7,19.56,21.2543,20.2187,22.4867,UP,1
2007-11-23,20.1667,20.0267,21.2489,20.0,22.4356,DOWN,0
2007-11-26,19.3333,20.1667,21.2415,19.672,22.3695,UP,1
2007-11-27,20.2933,19.6733,21.2389,19.832,22.3268,UP,1
2007-11-28,21.5267,20.5,21.2406,20.204,22.2913,UP,1
2007-11-29,21.5467,21.3667,21.2412,20.5733,22.254,UP,1
2007-11-30,21.6533,21.8067,21.2426,20.8707,22.2244,UP,1
2007-12-03,21.84,21.7133,21.2457,21.372,22.1984,DOWN,0
2007-12-04,21.62,21.58,21.2473,21.6373,22.1779,UP,1
2007-12-05,22.3667,22.1267,21.2529,21.8053,22.202,UP,1
2007-12-06,23.14,22.1533,21.2627,22.124,22.2265,DOWN,0
2007-12-07,22.98,23.1333,21.2729,22.3893,22.2425,UP,1
2007-12-10,23.7333,23.0,21.289,22.768,22.2792,DOWN,0
2007-12-11,22.7,23.84,21.3029,22.984,22.2808,UP,1
2007-12-12,22.9067,23.44,21.3171,23.092,22.2771,DOWN,0
2007-12-13,22.8,22.66,21.331,23.024,22.2719,DOWN,0
2007-12-14,22.7733,22.58,21.3464,22.9827,22.2688,DOWN,0
2007-12-17,22.52,22.62,21.3636,22.74,22.2535,DOWN,0
2007-12-18,22.22,22.6867,21.3776,22.644,22.2337,UP,1
2007-12-19,22.28,22.2667,21.3922,22.5187,22.2132,DOWN,0
2007-12-20,22.16,22.4933,21.4058,22.3907,22.1897,UP,1
2007-12-21,22.66,22.5533,21.4223,22.368,22.1789,UP,1
2007-12-24,22.68,22.9067,21.4387,22.4,22.1628,UP,1
2007-12-26,22.7533,22.5533,21.46,22.5067,22.1583,DOWN,0
2007-12-27,22.22,22.8067,21.4767,22.4947,22.1455,UP,1
2007-12-28,22.2533,22.3,21.4924,22.5133,22.1367,DOWN,0
2007-12-31,21.7733,21.84,21.5055,22.336,22.1195,DOWN,0
2008-01-02,21.3067,21.6467,21.5146,22.0613,22.1121,DOWN,0
2008-01-03,20.9,21.38,21.5212,21.6907,22.0945,DOWN,0
2008-01-04,19.84,20.58,21.5186,21.2147,22.0541,UP,1
2008-01-07,19.9333,19.9,21.5165,20.7507,21.9888,DOWN,0
2008-01-08,19.28,20.0333,21.5103,20.252,21.9148,UP,1
2008-01-09,19.3733,19.3,21.5054,19.8653,21.8196,UP,1
2008-01-10,19.8,19.1933,21.5041,19.6453,21.7425,DOWN,0
2008-01-11,19.5933,19.6733,21.5027,19.596,21.6523,UP,1
2008-01-14,19.8133,19.72,21.5024,19.572,21.5519,DOWN,0
2008-01-15,18.8133,19.48,21.4972,19.4787,21.4601,UP,1
2008-01-16,19.62,18.8133,21.4961,19.528,21.3955,DOWN,0
2008-01-17,18.82,19.66,21.4904,19.332,21.3284,DOWN,0
2008-01-18,18.64,18.92,21.4841,19.1413,21.2508,UP,1
2008-01-22,18.8733,17.6733,21.4792,18.9533,21.1939,UP,1
2008-01-23,19.4667,18.5133,21.4781,19.084,21.1427,DOWN,0
2008-01-24,17.42,19.6667,21.4655,18.644,21.0597,UP,1
2008-01-25,17.66,17.8667,21.4549,18.412,20.986,UP,1
2008-01-28,18.18,17.6667,21.4459,18.32,20.9049,UP,1
2008-01-29,18.5467,18.5933,21.4379,18.2547,20.8375,DOWN,0
2008-01-30,18.3333,18.4733,21.4267,18.028,20.7789,UP,1
2008-01-31,18.7267,18.0333,21.4175,18.2893,20.734,UP,1
2008-02-01,19.2867,18.8,21.4101,18.6147,20.7299,DOWN,0
2008-02-04,18.7733,19.76,21.4008,18.7333,20.712,DOWN,0
2008-02-05,17.8467,18.4533,21.3867,18.5933,20.6749,DOWN,0
2008-02-06,17.4,17.9067,21.3702,18.4067,20.6196,UP,1
2008-02-07,17.6,17.3733,21.3581,18.1813,20.5849,DOWN,0
2008-02-08,17.3,17.58,21.3417,17.784,20.5251,UP,1
2008-02-11,17.5067,17.3467,21.3266,17.5307,20.4447,DOWN,0
2008-02-12,17.2133,17.6267,21.3093,17.404,20.358,UP,1
2008-02-13,17.3467,17.3467,21.2938,17.3933,20.2719,DOWN,0
2008-02-14,17.08,17.3333,21.2767,17.2893,20.1767,UP,1
2008-02-15,17.2467,16.96,21.2588,17.2787,20.0892,DOWN,0
2008-02-19,16.6,17.3333,21.2376,17.0973,19.9739,UP,1
2008-02-20,17.0933,16.5733,21.2178,17.0733,19.8529,DOWN,0
2008-02-21,16.4533,17.16,21.1952,16.8947,19.7224,UP,1
2008-02-22,16.5133,16.5333,21.1735,16.7813,19.578,UP,1
2008-02-25,16.6533,16.42,21.1527,16.6627,19.4571,DOWN,0
2008-02-26,16.4267,16.24,21.1331,16.628,19.3275,DOWN,0
2008-02-27,16.3467,16.32,21.1114,16.4787,19.1984,DOWN,0
2008-02-28,15.8133,16.26,21.0883,16.3507,19.0592,DOWN,0
2008-02-29,14.98,15.68,21.0625,16.044,18.9084,UP,1
2008-03-03,15.0667,15.0067,21.0366,15.7267,18.7653,DOWN,0
2008-03-04,14.9267,14.9267,21.01,15.4267,18.6183,DOWN,0
2008-03-05,14.8733,15.0867,20.9821,15.132,18.4725,DOWN,0
2008-03-06,14.3133,14.8133,20.9504,14.832,18.3056,UP,1
2008-03-07,14.4533,14.26,20.9195,14.7267,18.1411,DOWN,0
2008-03-10,13.7667,14.4667,20.8853,14.4667,17.9613,UP,1
2008-03-11,15.28,14.1933,20.8609,14.5373,17.8225,UP,1
2008-03-12,15.4733,15.5,20.8378,14.6573,17.6869,UP,1
2008-03-13,15.52,15.1267,20.8136,14.8987,17.5619,DOWN,0
2008-03-14,14.5067,15.4667,20.7826,14.9093,17.4259,DOWN,0
2008-03-17,13.8867,12.9667,20.741,14.9333,17.2856,UP,1
2008-03-18,15.5267,15.1067,20.707,14.9827,17.1993,DOWN,0
2008-03-19,14.44,15.6333,20.6687,14.776,17.0895,UP,1
2008-03-20,15.42,13.98,20.6374,14.756,17.0123,UP,1
2008-03-24,15.6333,15.52,20.6086,14.9813,16.9375,UP,1
2008-03-25,15.86,15.6333,20.5836,15.376,16.8587,DOWN,0
2008-03-26,15.66,15.76,20.555,15.4027,16.78,DOWN,0
2008-03-27,15.2133,15.66,20.5234,15.5573,16.688,DOWN,0
2008-03-28,14.7533,15.1067,20.4913,15.424,16.6068,UP,1
2008-03-31,15.32,14.54,20.4613,15.3613,16.5208,UP,1
2008-04-01,16.5,15.6067,20.436,15.4893,16.4744,DOWN,0
2008-04-02,16.3,16.4733,20.4089,15.6173,16.4276,UP,1
2008-04-03,16.54,16.0667,20.3839,15.8827,16.3809,DOWN,0
2008-04-04,16.0467,16.5333,20.3568,16.1413,16.3125,UP,1
2008-04-07,16.3333,16.18,20.3325,16.344,16.2908,UP,1
2008-04-08,16.3467,16.1667,20.3091,16.3133,16.2645,DOWN,0
2008-04-09,15.6667,16.2933,20.2831,16.1867,16.2143,DOWN,0
2008-04-10,15.5467,15.6267,20.258,15.988,16.1543,DOWN,0
2008-04-11,15.1067,15.3267,20.2307,15.8,16.0897,DOWN,0
2008-04-14,14.68,15.0933,20.1998,15.4693,16.0088,UP,1
2008-04-15,14.86,14.7733,20.1691,15.172,15.9203,UP,1
2008-04-16,15.28,15.04,20.1425,15.0947,15.8504,UP,1
2008-04-17,15.5933,15.3933,20.1162,15.104,15.8053,UP,1
2008-04-18,15.84,16.0067,20.0904,15.2507,15.7741,DOWN,0
2008-04-21,15.66,15.6933,20.0637,15.4467,15.7353,DOWN,0
2008-04-22,15.3067,15.4867,20.0274,15.536,15.6955,UP,1
2008-04-23,18.3733,16.6667,20.0062,16.1547,15.7128,UP,1
2008-04-24,19.2067,18.32,19.9935,16.8773,15.7527,UP,1
2008-04-25,19.2933,19.1333,19.9798,17.568,15.7916,UP,1
2008-04-28,19.5667,19.1867,19.9649,18.3493,15.8413,DOWN,0
2008-04-29,19.3933,19.5,19.9481,19.1667,15.8843,DOWN,0
2008-04-30,19.18,19.4733,19.9321,19.328,15.9359,UP,1
2008-05-01,20.24,19.1867,19.9205,19.5347,15.9988,DOWN,0
2008-05-02,20.16,20.5733,19.9118,19.708,16.0729,DOWN,0
2008-05-05,20.1,20.0467,19.9038,19.8147,16.1447,DOWN,0
2008-05-06,19.98,19.9267,19.8969,19.932,16.2112,DOWN,0
2008-05-07,19.4733,20.04,19.8871,19.9907,16.2721,DOWN,0
2008-05-08,19.3,19.5133,19.8815,19.8027,16.3312,DOWN,0
2008-05-09,19.2467,19.26,19.8702,19.62,16.3999,UP,1
2008-05-12,19.7067,19.2133,19.8637,19.5413,16.4944,DOWN,0
2008-05-13,19.1667,19.6733,19.8552,19.3787,16.5764,UP,1
2008-05-14,19.5,19.2533,19.8478,19.384,16.6679,UP,1
2008-05-15,19.8667,19.5467,19.8449,19.4973,16.7677,DOWN,0
2008-05-16,19.8133,19.88,19.8417,19.6107,16.8777,DOWN,0
2008-05-19,19.6733,19.8667,19.8368,19.604,16.9821,DOWN,0
2008-05-20,19.2133,19.6067,19.8344,19.6133,17.0911,DOWN,0
2008-05-21,18.56,19.18,19.8248,19.4253,17.1567,UP,1
2008-05-22,18.8733,18.3933,19.8159,19.2267,17.2247,DOWN,0
2008-05-23,18.7533,18.3533,19.8025,19.0147,17.2893,UP,1
2008-05-27,18.9867,18.64,19.7912,18.8773,17.3789,UP,1
2008-05-28,19.6933,19.1667,19.7843,18.9733,17.4951,UP,1
