ticker,BWA US Equity,BWA US Equity,BWA US Equity,BWA US Equity,BWA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-04-27,5.575,5.6,4.7874,5.62,5.3826,DOWN,0
2001-04-30,5.5663,5.5738,4.7923,5.608,5.3854,DOWN,0
2001-05-01,5.5313,5.625,4.7971,5.5817,5.3877,UP,1
2001-05-02,5.575,5.53,4.8019,5.5715,5.392,DOWN,0
2001-05-03,5.5,5.5563,4.8065,5.5495,5.3958,DOWN,0
2001-05-04,5.5,5.5,4.8109,5.5345,5.4007,DOWN,0
2001-05-07,5.4913,5.5,4.8152,5.5195,5.4036,DOWN,0
2001-05-08,5.4338,5.5,4.8199,5.5,5.4026,DOWN,0
2001-05-09,5.4125,5.4338,4.8246,5.4675,5.4001,DOWN,0
2001-05-10,5.3875,5.4,4.8292,5.445,5.3986,DOWN,0
2001-05-11,5.2925,5.3938,4.834,5.4035,5.3962,UP,1
2001-05-14,5.3563,5.3,4.8393,5.3765,5.3908,UP,1
2001-05-15,5.5025,5.3563,4.8459,5.3903,5.3889,UP,1
2001-05-16,5.7125,5.5013,4.8533,5.4502,5.3905,UP,1
2001-05-17,5.7313,5.725,4.8604,5.519,5.3919,DOWN,0
2001-05-18,5.6888,5.7313,4.867,5.5982,5.3912,UP,1
2001-05-21,5.7313,5.69,4.8734,5.6732,5.3918,UP,1
2001-05-22,5.7438,5.7,4.8796,5.7215,5.3942,DOWN,0
2001-05-23,5.7338,5.7438,4.8858,5.7258,5.3988,UP,1
2001-05-24,5.8125,5.7338,4.8923,5.742,5.4072,UP,1
