ticker,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-03-19,36.2,36.6,31.3792,37.336,35.8128,DOWN,0
2001-03-20,34.97,36.0,31.4244,36.662,35.8552,DOWN,0
2001-03-21,34.46,35.13,31.4673,36.026,35.8862,DOWN,0
2001-03-22,34.0,33.75,31.5076,35.326,35.8814,UP,1
2001-03-23,34.9,33.8,31.5552,34.906,35.904,UP,1
2001-03-26,36.11,35.25,31.612,34.888,35.9544,UP,1
2001-03-27,36.41,35.7,31.6675,35.176,36.0116,DOWN,0
2001-03-28,35.07,36.41,31.715,35.298,36.045,UP,1
2001-03-29,35.99,35.1,31.7687,35.696,36.1244,DOWN,0
2001-03-30,35.65,36.24,31.8236,35.846,36.1984,UP,1
2001-04-02,35.95,35.65,31.8783,35.814,36.2828,DOWN,0
2001-04-03,35.9,35.85,31.9362,35.712,36.3356,DOWN,0
2001-04-04,35.5,35.25,31.9903,35.798,36.3856,UP,1
2001-04-05,35.95,35.25,32.0476,35.79,36.4646,UP,1
2001-04-06,36.0,35.85,32.1076,35.86,36.4944,DOWN,0
2001-04-09,35.8,36.0,32.1681,35.83,36.5128,UP,1
2001-04-10,36.41,35.75,32.2292,35.932,36.54,DOWN,0
2001-04-11,36.4,36.95,32.2872,36.112,36.5732,UP,1
2001-04-12,36.65,36.45,32.3489,36.252,36.6126,DOWN,0
2001-04-16,36.25,36.25,32.4117,36.302,36.6134,DOWN,0
2001-04-17,36.25,36.0,32.4679,36.392,36.6104,DOWN,0
2001-04-18,36.15,36.39,32.5246,36.34,36.6074,DOWN,0
2001-04-19,35.2,35.9,32.579,36.1,36.5926,DOWN,0
2001-04-20,34.97,34.4,32.6289,35.764,36.5694,DOWN,0
2001-04-23,34.5,34.5,32.6751,35.414,36.5268,UP,1
2001-04-24,35.89,34.5,32.728,35.342,36.522,DOWN,0
2001-04-25,35.89,35.6,32.7815,35.29,36.5418,DOWN,0
2001-04-26,35.7,35.64,32.8363,35.39,36.5176,UP,1
2001-04-27,36.0,35.7,32.891,35.596,36.5212,DOWN,0
2001-04-30,35.16,36.25,32.9418,35.728,36.5106,UP,1
2001-05-01,37.13,36.1,32.9956,35.976,36.5282,DOWN,0
2001-05-02,36.85,37.9,33.0529,36.168,36.5156,DOWN,0
2001-05-03,35.98,36.85,33.1063,36.224,36.4982,UP,1
2001-05-04,36.0,35.73,33.1594,36.224,36.4632,DOWN,0
2001-05-07,36.0,35.75,33.2056,36.392,36.4442,UP,1
