ticker,EMN US Equity,EMN US Equity,EMN US Equity,EMN US Equity,EMN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-02-26,26.015,24.7,22.6258,24.794,23.7524,DOWN,0
2001-02-27,25.625,25.875,22.6215,24.962,23.8061,UP,1
2001-02-28,25.725,25.6,22.6196,25.223,23.8569,DOWN,0
2001-03-01,25.25,25.55,22.6123,25.423,23.895,UP,1
2001-03-02,25.6,25.125,22.6081,25.643,23.9389,UP,1
2001-03-05,26.025,25.6,22.6084,25.645,23.9831,UP,1
2001-03-06,26.075,25.95,22.6098,25.735,24.0459,UP,1
2001-03-07,26.795,26.0,22.6116,25.949,24.108,DOWN,0
2001-03-08,26.765,26.67,22.6101,26.252,24.1564,UP,1
2001-03-09,26.94,26.7,22.6114,26.52,24.204,DOWN,0
2001-03-12,25.795,26.7,22.6088,26.474,24.2118,DOWN,0
2001-03-13,25.51,25.6,22.612,26.361,24.212,DOWN,0
2001-03-14,25.015,25.5,22.6146,26.005,24.2248,DOWN,0
2001-03-15,24.395,24.9,22.615,25.531,24.2377,DOWN,0
2001-03-16,24.24,24.1,22.6223,24.991,24.23,UP,1
2001-03-19,24.945,24.375,22.6281,24.821,24.2389,UP,1
2001-03-20,24.985,24.93,22.6344,24.716,24.2686,DOWN,0
2001-03-21,24.4,24.95,22.6413,24.593,24.2797,DOWN,0
2001-03-22,23.685,24.35,22.6423,24.451,24.2921,UP,1
2001-03-23,23.735,23.7,22.6415,24.35,24.3043,UP,1
2001-03-26,24.65,24.045,22.6455,24.291,24.3461,UP,1
2001-03-27,24.985,24.75,22.65,24.291,24.3933,DOWN,0
2001-03-28,24.885,24.775,22.6552,24.388,24.4304,DOWN,0
2001-03-29,24.51,24.835,22.6595,24.553,24.4631,UP,1
2001-03-30,24.61,24.51,22.6622,24.728,24.5009,UP,1
2001-04-02,25.045,24.85,22.6674,24.807,24.5574,DOWN,0
2001-04-03,24.125,25.045,22.6693,24.635,24.5943,UP,1
2001-04-04,24.735,24.25,22.6786,24.605,24.6427,UP,1
2001-04-05,25.195,25.0,22.6913,24.742,24.7041,DOWN,0
2001-04-06,24.61,25.195,22.6995,24.742,24.7526,UP,1
2001-04-09,25.4,24.65,22.7116,24.813,24.8287,UP,1
2001-04-10,26.73,25.35,22.73,25.334,24.9158,DOWN,0
2001-04-11,26.575,26.5,22.7466,25.702,24.9823,DOWN,0
2001-04-12,26.515,26.325,22.7579,25.966,25.0455,UP,1
2001-04-16,26.795,26.475,22.771,26.403,25.1117,UP,1
2001-04-17,26.875,26.595,22.7868,26.698,25.1758,UP,1
2001-04-18,27.43,26.875,22.8046,26.838,25.2407,DOWN,0
2001-04-19,27.06,27.14,22.8166,26.935,25.2989,DOWN,0
2001-04-20,26.855,26.875,22.8272,27.003,25.345,DOWN,0
2001-04-23,26.635,26.855,22.8435,26.971,25.3875,UP,1
2001-04-24,26.835,26.635,22.8569,26.963,25.4341,DOWN,0
2001-04-25,26.745,26.71,22.8706,26.826,25.4764,UP,1
2001-04-26,27.47,26.75,22.8834,26.908,25.5208,DOWN,0
2001-04-27,27.0,27.025,22.8958,26.937,25.5642,DOWN,0
2001-04-30,26.62,26.8,22.9044,26.934,25.5841,DOWN,0
2001-05-01,26.37,26.5,22.914,26.841,25.6147,UP,1
2001-05-02,26.795,26.35,22.9285,26.851,25.6549,DOWN,0
2001-05-03,26.32,26.75,22.9399,26.621,25.6929,UP,1
2001-05-04,26.485,26.0,22.9542,26.518,25.7376,DOWN,0
2001-05-07,26.285,26.125,22.9686,26.451,25.7733,DOWN,0
2001-05-08,26.14,26.0,22.9807,26.405,25.7758,DOWN,0
2001-05-09,26.025,26.145,22.9929,26.251,25.7838,UP,1
2001-05-10,26.36,26.09,23.0081,26.259,25.7965,DOWN,0
2001-05-11,25.795,26.3,23.0219,26.121,25.8074,UP,1
2001-05-14,25.905,25.77,23.033,26.045,25.8135,UP,1
2001-05-15,26.145,25.9,23.0461,26.046,25.8159,UP,1
2001-05-16,27.6,26.1,23.0669,26.361,25.8464,UP,1
2001-05-17,27.625,27.6,23.0888,26.614,25.863,DOWN,0
2001-05-18,27.55,27.6,23.1107,26.965,25.8787,DOWN,0
2001-05-21,27.41,27.48,23.1292,27.266,25.8881,DOWN,0
2001-05-22,26.86,27.3,23.1563,27.409,25.9094,DOWN,0
2001-05-23,26.36,26.85,23.1775,27.161,25.9264,DOWN,0
2001-05-24,25.605,26.255,23.1955,26.757,25.9382,UP,1
2001-05-25,25.69,25.6,23.2121,26.385,25.9641,UP,1
2001-05-29,25.725,25.685,23.2305,26.048,25.9938,DOWN,0
2001-05-30,25.21,25.7,23.2444,25.718,25.9991,UP,1
2001-05-31,25.27,25.25,23.2586,25.5,26.0048,DOWN,0
2001-06-01,25.045,25.3,23.2695,25.388,26.0177,UP,1
2001-06-04,25.395,25.045,23.2805,25.329,26.0519,UP,1
2001-06-05,25.585,25.35,23.2936,25.301,26.0889,DOWN,0
2001-06-06,25.445,25.59,23.3057,25.348,26.1048,DOWN,0
2001-06-07,25.445,25.32,23.3185,25.383,26.114,UP,1
