ticker,IDXX US Equity,IDXX US Equity,IDXX US Equity,IDXX US Equity,IDXX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-01-17,5.7656,5.9375,6.0414,5.7633,5.6773,UP,1
2001-01-18,5.9219,5.7695,6.0423,5.8102,5.6735,UP,1
2001-01-19,6.2188,5.8594,6.0459,5.9219,5.6729,DOWN,0
2001-01-22,6.0156,6.2344,6.0482,5.975,5.6638,UP,1
2001-01-23,6.125,6.0,6.0493,6.0094,5.6585,DOWN,0
2001-01-24,5.6094,6.0625,6.0486,5.9781,5.6451,UP,1
2001-01-25,5.6875,5.6875,6.0496,5.9313,5.6338,DOWN,0
2001-01-26,5.2969,5.7031,6.0495,5.7469,5.6116,UP,1
2001-01-29,5.4375,5.4063,6.0495,5.6313,5.6045,UP,1
2001-01-30,5.5938,5.4102,6.0496,5.525,5.5954,DOWN,0
2001-01-31,5.5469,5.6563,6.0478,5.5125,5.5948,UP,1
2001-02-01,5.7031,5.5,6.0446,5.5156,5.5866,DOWN,0
2001-02-02,5.625,5.7031,6.0417,5.5813,5.5845,DOWN,0
2001-02-05,5.5469,5.625,6.0386,5.6031,5.5804,DOWN,0
2001-02-06,5.5156,5.5938,6.034,5.5875,5.5785,UP,1
2001-02-07,5.6719,5.5,6.0313,5.6125,5.5776,UP,1
2001-02-08,5.7031,5.6563,6.0286,5.6125,5.576,DOWN,0
2001-02-09,5.7031,5.6719,6.0256,5.6281,5.5804,DOWN,0
2001-02-12,5.6875,5.6523,6.0223,5.6563,5.5888,UP,1
2001-02-13,5.9688,5.7813,6.0193,5.7469,5.5945,DOWN,0
2001-02-14,5.8906,5.9844,6.0136,5.7906,5.5966,UP,1
2001-02-15,6.0,5.875,6.0104,5.85,5.6054,DOWN,0
2001-02-16,5.9219,5.9688,6.0084,5.8938,5.6151,UP,1
2001-02-20,6.125,6.0195,6.0071,5.9813,5.6316,DOWN,0
2001-02-21,5.9531,6.125,6.0046,5.9781,5.6401,DOWN,0
2001-02-22,5.75,5.9219,5.9996,5.95,5.6473,UP,1
2001-02-23,5.8125,5.7188,5.995,5.9125,5.6604,UP,1
2001-02-26,6.0156,5.8281,5.9929,5.9313,5.6776,DOWN,0
2001-02-27,5.9531,6.0039,5.9889,5.8969,5.6888,DOWN,0
2001-02-28,5.8906,6.0,5.985,5.8844,5.6941,UP,1
2001-03-01,5.9805,5.8125,5.9806,5.9305,5.7094,UP,1
2001-03-02,6.0,5.8125,5.9761,5.968,5.7238,DOWN,0
2001-03-05,5.9531,6.0,5.9724,5.9555,5.7372,UP,1
2001-03-06,6.0156,5.9531,5.9701,5.968,5.7547,DOWN,0
2001-03-07,6.0156,6.0156,5.9677,5.993,5.7694,DOWN,0
2001-03-08,5.75,5.9844,5.9649,5.9469,5.7766,DOWN,0
2001-03-09,5.6563,5.7305,5.9616,5.8781,5.7787,DOWN,0
2001-03-12,5.5625,5.6875,5.9575,5.8,5.7703,DOWN,0
2001-03-13,5.5625,5.5469,5.9541,5.7094,5.7603,DOWN,0
2001-03-14,5.5,5.5313,5.9513,5.6063,5.7603,DOWN,0
2001-03-15,5.4375,5.4609,5.9475,5.5438,5.7578,UP,1
2001-03-16,5.4688,5.4219,5.9438,5.5063,5.7441,DOWN,0
2001-03-19,5.3281,5.4375,5.9399,5.4594,5.7394,UP,1
2001-03-20,5.375,5.2813,5.935,5.4219,5.7409,DOWN,0
2001-03-21,5.125,5.2813,5.9306,5.3469,5.7372,DOWN,0
2001-03-22,5.0156,4.9414,5.9237,5.2625,5.7291,UP,1
2001-03-23,5.3125,5.1289,5.9177,5.2313,5.7216,UP,1
2001-03-26,5.5156,5.3359,5.9142,5.2688,5.7187,DOWN,0
2001-03-27,5.3281,5.5,5.9103,5.2594,5.7102,DOWN,0
2001-03-28,5.0,5.3125,5.9071,5.2344,5.6912,UP,1
2001-03-29,5.2344,5.0156,5.9041,5.2781,5.6805,UP,1
2001-03-30,5.4844,5.2813,5.9017,5.3125,5.6718,DOWN,0
2001-04-02,4.8594,5.4375,5.8964,5.1813,5.6446,DOWN,0
2001-04-03,4.7813,4.8398,5.8909,5.0719,5.6199,UP,1
2001-04-04,5.0469,4.7813,5.8867,5.0813,5.5984,UP,1
2001-04-05,5.3906,5.0625,5.8849,5.1125,5.594,DOWN,0
2001-04-06,5.25,5.3164,5.8819,5.0656,5.5852,UP,1
2001-04-09,5.3,5.2375,5.8803,5.1538,5.5853,UP,1
