ticker,MPWR US Equity,MPWR US Equity,MPWR US Equity,MPWR US Equity,MPWR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2017-01-12,85.95,86.13,85.436,81.7002,73.5898,UP,1
2017-01-13,87.14,86.23,86.076,81.9132,73.7073,DOWN,0
2017-01-17,85.17,86.8,86.03,82.0864,73.8109,UP,1
2017-01-18,86.45,85.73,86.206,82.2866,73.9258,DOWN,0
2017-01-19,85.61,86.26,86.064,82.465,74.0397,UP,1
2017-01-20,87.54,85.62,86.382,82.6446,74.1579,UP,1
2017-01-23,88.33,87.36,86.62,82.8376,74.2822,UP,1
2017-01-24,90.55,88.77,87.696,83.0534,74.4167,DOWN,0
2017-01-25,90.06,91.04,88.418,83.2988,74.5494,DOWN,0
2017-01-26,88.3,90.23,88.956,83.479,74.6732,UP,1
2017-01-27,89.78,88.76,89.404,83.678,74.7927,DOWN,0
2017-01-30,89.05,89.0,89.548,83.855,74.9116,DOWN,0
2017-01-31,87.24,89.05,88.886,83.9802,75.0244,UP,1
2017-02-01,88.92,88.24,88.658,84.1258,75.1444,DOWN,0
2017-02-02,88.27,88.5,88.652,84.2546,75.266,UP,1
2017-02-03,89.07,89.19,88.51,84.3788,75.3926,DOWN,0
2017-02-06,88.54,88.82,88.408,84.4706,75.5182,UP,1
2017-02-07,89.37,88.67,88.834,84.578,75.6441,UP,1
2017-02-08,89.91,89.05,89.032,84.6894,75.7752,DOWN,0
2017-02-09,89.01,89.79,89.18,84.7952,75.8955,DOWN,0
2017-02-10,88.4,87.75,89.046,84.9012,76.0107,DOWN,0
2017-02-13,85.91,88.53,88.52,84.9786,76.1193,DOWN,0
2017-02-14,85.13,85.58,87.672,85.1512,76.2329,UP,1
2017-02-15,86.02,85.07,86.894,85.3386,76.3454,UP,1
2017-02-16,86.16,86.21,86.324,85.5022,76.454,UP,1
2017-02-17,86.52,86.01,85.948,85.667,76.5753,UP,1
2017-02-21,88.22,86.52,86.41,85.8444,76.708,UP,1
2017-02-22,88.8,88.16,87.144,86.0042,76.8394,DOWN,0
2017-02-23,88.18,89.06,87.576,86.1612,76.9711,UP,1
2017-02-24,88.82,87.48,88.108,86.336,77.1032,UP,1
2017-02-27,89.1,88.95,88.624,86.4572,77.237,DOWN,0
2017-02-28,87.97,89.0,88.574,86.5598,77.3722,UP,1
2017-03-01,89.44,88.75,88.702,86.6644,77.5122,DOWN,0
2017-03-02,88.92,89.35,88.85,86.7774,77.6425,DOWN,0
2017-03-03,88.57,89.0,88.8,86.8666,77.7749,DOWN,0
2017-03-06,88.16,87.96,88.612,86.9212,77.9006,UP,1
2017-03-07,88.35,88.14,88.688,86.9966,78.0318,UP,1
2017-03-08,88.37,88.64,88.474,87.0778,78.153,DOWN,0
2017-03-09,88.33,88.37,88.356,87.1532,78.2678,UP,1
2017-03-10,89.25,88.88,88.492,87.2378,78.3796,UP,1
2017-03-13,90.96,89.24,89.052,87.3924,78.5,UP,1
2017-03-14,91.39,90.88,89.66,87.5558,78.6176,UP,1
2017-03-15,92.72,91.5,90.53,87.7716,78.7386,DOWN,0
2017-03-16,92.32,93.05,91.328,87.9458,78.8586,UP,1
2017-03-17,92.96,92.52,92.07,88.1444,78.9798,UP,1
2017-03-20,93.73,93.29,92.624,88.3638,79.105,DOWN,0
2017-03-21,91.68,94.37,92.682,88.5186,79.2199,UP,1
2017-03-22,92.09,91.58,92.556,88.6524,79.3365,DOWN,0
2017-03-23,91.12,91.93,92.316,88.7634,79.441,UP,1
2017-03-24,91.43,91.88,92.01,88.8656,79.545,DOWN,0
2017-03-27,91.07,90.84,91.478,88.968,79.6466,UP,1
2017-03-28,92.67,91.07,91.676,89.0786,79.7646,DOWN,0
2017-03-29,91.87,92.29,91.632,89.2126,79.8809,UP,1
2017-03-30,91.93,91.9,91.794,89.3222,79.9968,UP,1
2017-03-31,92.1,91.75,91.928,89.452,80.1125,DOWN,0
2017-04-03,91.49,92.23,92.012,89.531,80.2254,UP,1
2017-04-04,92.53,91.17,91.984,89.615,80.3486,DOWN,0
2017-04-05,90.98,92.67,91.806,89.6236,80.4616,UP,1
2017-04-06,91.05,91.1,91.63,89.6434,80.5757,UP,1
2017-04-07,91.73,90.86,91.556,89.712,80.6935,DOWN,0
2017-04-10,91.23,91.97,91.504,89.741,80.8002,DOWN,0
2017-04-11,90.57,90.94,91.112,89.7714,80.922,DOWN,0
2017-04-12,89.4,90.57,90.796,89.8146,81.0525,DOWN,0
2017-04-13,88.97,89.0,90.38,89.8156,81.1656,UP,1
2017-04-17,90.42,89.34,90.118,89.8586,81.2831,UP,1
2017-04-18,91.11,90.17,90.094,89.8994,81.3971,UP,1
2017-04-19,91.8,91.79,90.34,89.9646,81.5181,UP,1
2017-04-20,93.81,92.16,91.222,90.0534,81.6566,DOWN,0
2017-04-21,93.37,93.65,92.102,90.1226,81.7908,UP,1
2017-04-24,95.25,94.99,93.068,90.2474,81.9299,UP,1
2017-04-25,96.21,95.95,94.088,90.4036,82.0668,DOWN,0
2017-04-26,93.71,96.22,94.47,90.5596,82.1863,UP,1
2017-04-27,94.46,95.0,94.6,90.7462,82.3051,DOWN,0
2017-04-28,91.5,94.26,94.226,90.8558,82.4109,UP,1
2017-05-01,91.86,91.5,93.548,90.9698,82.5172,DOWN,0
2017-05-02,91.11,91.76,92.528,91.0616,82.6181,DOWN,0
2017-05-03,90.82,90.81,91.95,91.1136,82.718,UP,1
2017-05-04,92.76,91.05,91.61,91.1928,82.8269,UP,1
2017-05-05,93.46,93.28,92.002,91.2984,82.9326,DOWN,0
2017-05-08,92.68,93.16,92.166,91.3756,83.0383,UP,1
2017-05-09,93.72,92.84,92.688,91.468,83.1465,UP,1
2017-05-10,95.39,94.25,93.602,91.6164,83.2574,UP,1
2017-05-11,95.54,95.1,94.158,91.7384,83.3662,DOWN,0
2017-05-12,94.81,95.24,94.428,91.8562,83.4705,UP,1
2017-05-15,96.09,95.27,95.11,92.0066,83.5846,UP,1
2017-05-16,98.21,96.38,96.008,92.2076,83.7121,DOWN,0
2017-05-17,92.96,96.75,95.522,92.2998,83.8127,UP,1
2017-05-18,93.83,92.61,95.18,92.409,83.9259,UP,1
2017-05-19,95.1,94.51,95.238,92.5444,84.0423,UP,1
2017-05-22,95.22,95.32,95.064,92.6638,84.157,DOWN,0
2017-05-23,95.04,95.49,94.43,92.7454,84.2673,UP,1
2017-05-24,97.43,95.44,95.324,92.8662,84.3902,UP,1
2017-05-25,97.66,97.84,96.09,92.965,84.5099,UP,1
2017-05-26,98.01,97.61,96.672,93.0788,84.6336,DOWN,0
2017-05-30,97.82,98.23,97.192,93.176,84.7558,UP,1
2017-05-31,98.2,98.5,97.824,93.2654,84.8791,UP,1
2017-06-01,98.59,98.7,98.056,93.4036,84.9989,UP,1
2017-06-02,100.8,99.09,98.684,93.5778,85.1341,UP,1
2017-06-05,101.01,100.8,99.284,93.7756,85.2704,DOWN,0
2017-06-06,100.83,100.37,99.886,93.9636,85.4031,UP,1
2017-06-07,101.79,101.21,100.604,94.178,85.537,UP,1
2017-06-08,103.35,102.3,101.556,94.3916,85.6757,DOWN,0
2017-06-09,97.93,103.69,100.982,94.5128,85.7858,DOWN,0
2017-06-12,97.34,96.58,100.248,94.621,85.8974,UP,1
2017-06-13,98.07,98.19,99.696,94.7404,86.0113,DOWN,0
2017-06-14,96.46,98.26,98.63,94.8398,86.1102,DOWN,0
2017-06-15,96.41,94.73,97.242,94.9174,86.2114,UP,1
2017-06-16,97.19,95.79,97.094,95.0416,86.3155,UP,1
2017-06-19,98.33,103.0,97.292,95.1872,86.4235,DOWN,0
2017-06-20,96.4,98.17,96.958,95.2806,86.5172,UP,1
2017-06-21,97.56,97.14,97.178,95.4072,86.6182,DOWN,0
2017-06-22,97.06,97.34,97.308,95.537,86.7202,UP,1
2017-06-23,98.58,97.18,97.586,95.7206,86.8297,UP,1
2017-06-26,99.51,99.0,97.822,95.9314,86.9495,DOWN,0
2017-06-27,96.84,99.4,97.91,96.0598,87.0666,UP,1
2017-06-28,99.03,97.28,98.204,96.2182,87.1848,DOWN,0
2017-06-29,97.12,98.55,98.216,96.3246,87.297,DOWN,0
2017-06-30,96.4,97.22,97.78,96.3764,87.4057,DOWN,0
2017-07-03,94.24,96.9,96.726,96.3938,87.5008,UP,1
2017-07-05,95.74,94.27,96.506,96.4036,87.6014,DOWN,0
2017-07-06,95.3,94.72,95.76,96.3854,87.6981,UP,1
2017-07-07,98.03,95.83,95.942,96.4718,87.8104,DOWN,0
2017-07-10,97.78,98.26,96.218,96.5382,87.9171,UP,1
2017-07-11,98.72,97.77,97.114,96.6826,88.0239,UP,1
2017-07-12,100.15,99.64,97.996,96.8484,88.142,DOWN,0
2017-07-13,100.01,100.25,98.938,97.0264,88.2602,UP,1
2017-07-14,100.79,100.26,99.49,97.2258,88.3721,UP,1
2017-07-17,101.03,101.08,100.14,97.3912,88.4826,UP,1
2017-07-18,101.63,100.75,100.722,97.5546,88.596,UP,1
2017-07-19,103.61,102.12,101.414,97.7732,88.7115,UP,1
2017-07-20,105.0,103.96,102.412,97.9988,88.8406,DOWN,0
2017-07-21,103.75,105.09,103.004,98.166,88.964,UP,1
2017-07-24,104.85,103.65,103.768,98.3522,89.0882,UP,1
2017-07-25,104.93,104.94,104.428,98.5546,89.2113,UP,1
2017-07-26,106.79,105.66,105.064,98.7686,89.3439,DOWN,0
2017-07-27,104.58,101.6,104.98,98.896,89.4643,DOWN,0
2017-07-28,102.62,103.91,104.754,99.0892,89.5818,DOWN,0
