ticker,APD US Equity,APD US Equity,APD US Equity,APD US Equity,APD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-02-01,35.0849,34.4378,32.3404,34.6125,34.4171,UP,1
2001-02-02,35.1034,35.0849,32.3801,34.9074,34.5021,UP,1
2001-02-05,36.0002,35.1127,32.4313,35.255,34.6073,DOWN,0
2001-02-06,35.5102,36.7028,32.4707,35.3234,34.6969,UP,1
2001-02-07,35.843,35.1312,32.5041,35.5083,34.7897,UP,1
2001-02-08,36.5641,36.9802,32.5355,35.8042,34.897,DOWN,0
2001-02-09,36.0649,36.0557,32.5734,35.9965,35.0,DOWN,0
2001-02-12,36.0464,36.296,32.6115,36.0057,35.0853,UP,1
2001-02-13,36.4994,36.0557,32.6504,36.2036,35.1786,DOWN,0
2001-02-14,36.4717,36.9802,32.6868,36.3293,35.2574,UP,1
2001-02-15,36.9339,37.4424,32.7233,36.4033,35.3166,DOWN,0
2001-02-16,36.3515,36.1019,32.7638,36.4606,35.3675,UP,1
2001-02-20,37.2205,36.8415,32.8066,36.6954,35.4498,DOWN,0
2001-02-21,35.9725,36.749,32.8414,36.59,35.5117,DOWN,0
2001-02-22,35.7783,36.0557,32.8759,36.4513,35.5593,DOWN,0
2001-02-23,34.5395,35.9632,32.9084,35.9725,35.5879,UP,1
2001-02-26,35.8985,34.937,32.9438,35.8818,35.6333,UP,1
2001-02-27,36.3607,35.7783,32.9649,35.7099,35.6787,UP,1
2001-02-28,37.4886,36.5826,32.9871,36.0131,35.7605,DOWN,0
2001-03-01,36.9524,37.2575,33.011,36.248,35.8478,UP,1
2001-03-02,37.1651,37.0264,33.0393,36.7731,35.915,UP,1
2001-03-05,37.3962,36.7028,33.068,37.0726,35.9627,UP,1
2001-03-06,38.672,37.766,33.0997,37.5349,36.0496,UP,1
2001-03-07,39.2914,38.672,33.1298,37.8954,36.1225,UP,1
2001-03-08,39.7537,39.2729,33.1594,38.4557,36.1802,DOWN,0
2001-03-09,39.5225,39.7167,33.1784,38.9272,36.2149,DOWN,0
2001-03-12,38.0803,38.8754,33.1964,39.064,36.1976,DOWN,0
2001-03-13,37.7198,37.3962,33.2206,38.8735,36.1789,DOWN,0
2001-03-14,37.0356,37.4424,33.2466,38.4224,36.1615,DOWN,0
2001-03-15,36.8507,37.0356,33.2708,37.8418,36.1508,DOWN,0
2001-03-16,36.7121,36.1481,33.2943,37.2797,36.1316,UP,1
2001-03-19,37.4147,36.8877,33.3135,37.1466,36.116,DOWN,0
2001-03-20,36.7675,36.0557,33.3289,36.9561,36.0968,DOWN,0
2001-03-21,35.6951,36.6104,33.341,36.688,36.0572,DOWN,0
2001-03-22,34.7798,35.0849,33.3522,36.2738,36.0259,UP,1
2001-03-23,35.8985,34.9,33.3722,36.1111,36.0135,UP,1
2001-03-26,36.4624,35.8985,33.3985,35.9207,36.039,DOWN,0
2001-03-27,36.0557,36.0557,33.4228,35.7783,36.0679,DOWN,0
2001-03-28,35.9355,35.501,33.4467,35.8264,36.0978,DOWN,0
2001-03-29,34.9925,35.3161,33.466,35.8689,36.1158,UP,1
2001-03-30,35.501,34.9,33.4843,35.7894,36.1487,UP,1
2001-04-02,36.6104,36.0557,33.5064,35.819,36.2164,DOWN,0
2001-04-03,35.5749,36.4255,33.5237,35.7228,36.2565,UP,1
2001-04-04,36.6936,35.1127,33.5494,35.8745,36.3189,UP,1
2001-04-05,37.5441,36.6843,33.588,36.3848,36.3868,DOWN,0
2001-04-06,37.1558,37.4424,33.6294,36.7158,36.4389,UP,1
