ticker,LW US Equity,LW US Equity,LW US Equity,LW US Equity,LW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2018-05-31,63.75,65.0,64.788,63.6266,55.3489,UP,1
2018-06-01,64.11,64.12,64.57,63.8016,55.4443,UP,1
2018-06-04,65.28,64.32,64.54,64.0156,55.5439,UP,1
2018-06-05,65.73,65.23,64.774,64.2492,55.6457,DOWN,0
2018-06-06,64.66,65.72,64.706,64.4138,55.7427,UP,1
2018-06-07,64.86,64.49,64.928,64.591,55.8397,UP,1
2018-06-08,65.68,64.99,65.242,64.7768,55.9398,DOWN,0
2018-06-11,65.36,65.67,65.258,64.9196,56.0387,UP,1
2018-06-12,65.69,65.55,65.25,65.072,56.1421,DOWN,0
2018-06-13,65.34,65.8,65.386,65.1962,56.2436,UP,1
2018-06-14,65.85,65.53,65.584,65.3246,56.3485,DOWN,0
2018-06-15,64.93,65.81,65.434,65.3938,56.4478,DOWN,0
2018-06-18,64.93,64.5,65.348,65.4568,56.5466,UP,1
2018-06-19,66.38,64.87,65.486,65.5386,56.6511,UP,1
2018-06-20,67.48,66.63,65.914,65.6128,56.7585,DOWN,0
