ticker,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-04-10,41.0,42.75,45.9336,42.16,45.677,DOWN,0
2001-04-11,38.95,41.1,45.9305,41.732,45.4012,DOWN,0
2001-04-12,38.44,38.94,45.9252,40.76,45.134,UP,1
2001-04-16,39.44,38.44,45.9224,40.246,44.8618,UP,1
2001-04-17,40.95,39.4,45.9294,39.756,44.6378,UP,1
2001-04-18,43.16,40.8,45.9451,40.188,44.4726,UP,1
2001-04-19,43.4,43.1,45.968,41.078,44.3274,DOWN,0
2001-04-20,42.56,43.35,45.9921,41.902,44.1758,DOWN,0
2001-04-23,41.25,42.35,46.003,42.264,43.9868,DOWN,0
2001-04-24,41.25,41.24,46.0099,42.324,43.824,UP,1
2001-04-25,43.4,41.25,46.0222,42.372,43.728,DOWN,0
2001-04-26,43.27,43.25,46.0282,42.346,43.6034,UP,1
2001-04-27,43.29,43.8,46.0281,42.492,43.4682,UP,1
2001-04-30,44.25,43.29,46.0366,43.092,43.3538,DOWN,0
2001-05-01,43.9,44.25,46.0448,43.622,43.2328,UP,1
2001-05-02,45.2,44.1,46.0633,43.982,43.1388,DOWN,0
2001-05-03,45.2,45.1,46.0856,44.368,43.0628,UP,1
2001-05-04,45.7,45.21,46.1178,44.85,43.0336,UP,1
2001-05-07,47.0,45.55,46.1478,45.4,43.0192,DOWN,0
2001-05-08,46.32,46.9,46.1725,45.884,43.0392,UP,1
2001-05-09,46.57,46.6,46.1979,46.158,43.0806,DOWN,0
2001-05-10,46.42,46.4,46.2253,46.402,43.1014,DOWN,0
2001-05-11,45.56,46.2,46.2472,46.374,43.1076,UP,1
2001-05-14,45.7,45.81,46.2782,46.114,43.0976,DOWN,0
2001-05-15,45.65,45.55,46.3108,45.98,43.0568,UP,1
2001-05-16,46.39,45.8,46.3402,45.944,43.0296,UP,1
2001-05-17,47.4,46.4,46.3754,46.14,43.0276,UP,1
2001-05-18,50.0,47.25,46.4204,47.028,43.0856,UP,1
2001-05-21,50.85,49.8,46.469,48.058,43.1844,UP,1
2001-05-22,51.3,51.0,46.5067,49.188,43.3368,DOWN,0
2001-05-23,48.5,51.2,46.5355,49.61,43.4548,DOWN,0
2001-05-24,48.22,48.5,46.565,49.774,43.5512,UP,1
2001-05-25,48.5,48.25,46.5925,49.474,43.6284,DOWN,0
2001-05-29,46.95,48.6,46.611,48.694,43.7116,DOWN,0
2001-05-30,44.3,46.5,46.6044,47.294,43.7512,UP,1
2001-05-31,44.9,44.2,46.6011,46.574,43.8172,UP,1
2001-06-01,46.2,44.9,46.603,46.17,43.8958,UP,1
2001-06-04,47.81,46.05,46.6149,46.032,44.092,DOWN,0
2001-06-05,47.21,47.56,46.6219,46.084,44.2342,DOWN,0
2001-06-06,45.97,47.35,46.6276,46.418,44.3472,UP,1
2001-06-07,46.12,46.05,46.6339,46.662,44.4556,DOWN,0
2001-06-08,45.0,46.3,46.6261,46.422,44.5296,UP,1
2001-06-11,45.03,45.15,46.6256,45.866,44.5964,DOWN,0
2001-06-12,42.53,44.8,46.6067,44.93,44.6238,UP,1
2001-06-13,43.12,42.52,46.5923,44.36,44.6862,DOWN,0
2001-06-14,42.2,43.0,46.5727,43.576,44.7226,UP,1
2001-06-15,42.41,42.1,46.55,43.058,44.749,DOWN,0
2001-06-18,40.98,42.3,46.5268,42.248,44.7026,DOWN,0
2001-06-19,39.6,41.2,46.4882,41.662,44.6544,UP,1
2001-06-20,41.1,39.61,46.4519,41.258,44.6084,UP,1
2001-06-21,42.04,40.75,46.428,41.226,44.6292,UP,1
2001-06-22,42.8,42.5,46.4126,41.304,44.7062,DOWN,0
2001-06-25,42.8,42.81,46.3938,41.668,44.7934,DOWN,0
2001-06-26,41.77,42.8,46.3736,42.102,44.84,UP,1
2001-06-27,42.88,42.04,46.3539,42.458,44.8786,UP,1
