ticker,FRC US Equity,FRC US Equity,FRC US Equity,FRC US Equity,FRC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-05-25,32.85,33.02,32.856,32.8088,29.3315,DOWN,0
2012-05-29,32.82,33.14,32.876,32.8284,29.3651,DOWN,0
2012-05-30,31.8,32.57,32.642,32.825,29.3976,DOWN,0
2012-05-31,31.4,32.06,32.364,32.8146,29.4237,DOWN,0
2012-06-01,30.11,31.01,31.796,32.7834,29.4456,DOWN,0
2012-06-04,29.53,30.27,31.132,32.744,29.4641,UP,1
2012-06-05,30.15,29.5,30.598,32.707,29.4928,UP,1
2012-06-06,31.26,30.6,30.49,32.6862,29.5294,UP,1
2012-06-07,31.34,31.49,30.478,32.6518,29.5674,UP,1
2012-06-08,31.81,31.33,30.818,32.6144,29.6036,DOWN,0
2012-06-11,31.5,32.08,31.212,32.5802,29.6359,UP,1
2012-06-12,31.82,31.52,31.546,32.5578,29.6739,UP,1
2012-06-13,31.84,31.8,31.662,32.5328,29.7096,DOWN,0
2012-06-14,31.75,31.94,31.744,32.4982,29.7422,UP,1
2012-06-15,31.96,31.74,31.774,32.4804,29.7757,UP,1
2012-06-18,32.2,31.76,31.914,32.4706,29.8092,UP,1
2012-06-19,32.6,32.21,32.07,32.4796,29.8487,UP,1
2012-06-20,33.14,32.59,32.33,32.5062,29.8936,DOWN,0
2012-06-21,32.7,33.07,32.52,32.5092,29.9371,DOWN,0
2012-06-22,32.35,32.79,32.598,32.497,29.9737,UP,1
2012-06-25,32.43,32.11,32.644,32.5018,30.0158,UP,1
2012-06-26,32.66,32.61,32.656,32.5048,30.0589,UP,1
2012-06-27,32.76,32.64,32.58,32.4898,30.0986,UP,1
2012-06-28,33.02,32.48,32.644,32.4902,30.1372,UP,1
2012-06-29,33.6,33.48,32.894,32.4968,30.1792,DOWN,0
2012-07-02,33.49,33.76,33.106,32.5056,30.221,UP,1
2012-07-03,33.62,33.55,33.298,32.5248,30.2626,DOWN,0
2012-07-05,33.38,33.59,33.422,32.533,30.3049,DOWN,0
2012-07-06,33.13,33.11,33.444,32.5276,30.3458,DOWN,0
2012-07-09,32.99,33.19,33.322,32.5202,30.3899,DOWN,0
2012-07-10,32.94,33.3,33.212,32.5062,30.4361,DOWN,0
2012-07-11,32.83,32.82,33.054,32.5022,30.4821,DOWN,0
2012-07-12,32.79,32.61,32.936,32.4878,30.526,UP,1
2012-07-13,33.23,32.79,32.956,32.4844,30.57,DOWN,0
2012-07-16,33.01,33.22,32.96,32.4814,30.6197,UP,1
2012-07-17,33.19,33.16,33.01,32.4904,30.6677,DOWN,0
2012-07-18,32.75,33.22,32.994,32.4918,30.7157,UP,1
2012-07-19,32.89,33.05,33.014,32.4968,30.7677,DOWN,0
