ticker,CSGP US Equity,CSGP US Equity,CSGP US Equity,CSGP US Equity,CSGP US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2018-10-04,40.011,40.83,38.2939,40.984,42.7106,39.492
2018-10-05,39.492,40.0,38.342,40.4656,42.6364,38.511
2018-10-08,38.511,39.37,38.3861,39.8808,42.563,38.377
2018-10-09,38.377,38.324,38.4287,39.4562,42.5014,37.324
2018-10-10,37.324,38.218,38.4654,38.743,42.4162,37.5
2018-10-11,37.5,37.225,38.5055,38.2408,42.329,38.83
2018-10-12,38.83,38.054,38.5526,38.1084,42.2527,38.059
2018-10-15,38.059,38.911,38.5951,38.018,42.1678,39.729
2018-10-16,39.729,38.352,38.6452,38.2884,42.1181,39.292
2018-10-17,39.292,39.723,38.6933,38.682,42.0639,38.853
2018-10-18,38.853,39.148,38.7338,38.9526,41.9979,38.349
2018-10-19,38.349,39.112,38.771,38.8564,41.9192,38.531
2018-10-22,38.531,38.508,38.808,38.9508,41.8326,38.271
2018-10-23,38.271,38.009,38.8423,38.6592,41.7407,35.93
2018-10-24,35.93,37.45,38.8647,37.9868,41.5974,35.836
2018-10-25,35.836,36.387,38.8866,37.3834,41.4565,35.528
2018-10-26,35.528,35.369,38.9056,36.8192,41.3077,34.896
2018-10-29,34.896,36.003,38.9191,36.0922,41.1448,34.783
2018-10-30,34.783,34.915,38.9335,35.3946,40.9759,36.142
2018-10-31,36.142,35.116,38.9532,35.437,40.8389,36.383
2018-11-01,36.383,36.231,38.9669,35.5464,40.7049,36.283
2018-11-02,36.283,36.548,38.9777,35.6974,40.5616,36.006
2018-11-05,36.006,36.472,38.9868,35.9194,40.4128,35.782
2018-11-06,35.782,35.936,38.9906,36.1192,40.2508,36.792
2018-11-07,36.792,36.109,38.9981,36.2492,40.1099,36.766
2018-11-08,36.766,36.758,39.0072,36.3258,39.961,36.501
2018-11-09,36.501,36.838,39.0138,36.3694,39.8089,35.704
2018-11-12,35.704,36.391,39.017,36.309,39.6386,35.57
2018-11-13,35.57,35.808,39.0212,36.2666,39.4566,34.613
2018-11-14,34.613,35.816,39.0212,35.8308,39.2638,35.609
2018-11-15,35.609,34.454,39.0243,35.5994,39.1016,36.279
2018-11-16,36.279,35.523,39.034,35.555,38.959,35.009
2018-11-19,35.009,36.032,39.0399,35.416,38.7873,36.122
2018-11-20,36.122,34.456,39.0529,35.5264,38.622,35.9
2018-11-21,35.9,36.302,39.0636,35.7838,38.4702,35.678
2018-11-23,35.678,35.69,39.0775,35.7976,38.3068,37.297
2018-11-26,37.297,36.044,39.1,36.0012,38.1827,35.973
2018-11-27,35.973,36.913,39.1128,36.194,38.0552,37.505
2018-11-28,37.505,36.212,39.1288,36.4706,37.9553,37.043
2018-11-29,37.043,37.258,39.1412,36.6992,37.8657,36.939
2018-11-30,36.939,36.933,39.1519,36.9514,37.7642,38.087
2018-12-03,38.087,37.65,39.1673,37.1094,37.6867,36.582
2018-12-04,36.582,37.943,39.1743,37.2312,37.5833,37.544
2018-12-06,37.544,35.957,39.186,37.239,37.4972,36.685
2018-12-07,36.685,37.468,39.1936,37.1674,37.3915,36.307
2018-12-10,36.307,36.606,39.1977,37.041,37.2822,36.217
2018-12-11,36.217,36.78,39.2021,36.667,37.1649,37.128
2018-12-12,37.128,36.569,39.2157,36.7762,37.0788,36.503
2018-12-13,36.503,37.199,39.2271,36.568,36.9988,35.748
2018-12-14,35.748,36.184,39.2336,36.3806,36.896,34.5
2018-12-17,34.5,35.475,39.232,36.0192,36.7858,33.681
2018-12-18,33.681,34.792,39.2219,35.512,36.6695,33.657
2018-12-19,33.657,33.772,39.2116,34.8178,36.5725,32.805
2018-12-20,32.805,33.475,39.1976,34.0782,36.461,32.039
