ticker,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2011-03-18,14.04,14.13,14.109,15.2032,13.7612,14.426
2011-03-21,14.426,14.269,14.1416,15.1847,13.771,14.447
2011-03-22,14.447,14.446,14.1804,15.1651,13.7824,14.568
2011-03-23,14.568,14.394,14.3059,15.1491,13.7946,14.686
2011-03-24,14.686,14.65,14.4336,15.1345,13.8088,14.508
2011-03-25,14.508,14.686,14.5271,15.1159,13.8204,14.398
2011-03-28,14.398,14.566,14.5214,15.0953,13.8312,14.557
2011-03-29,14.557,14.414,14.5435,15.074,13.8436,14.56
2011-03-30,14.56,14.624,14.5419,15.0451,13.854,14.683
2011-03-31,14.683,14.589,14.5412,15.0226,13.8647,14.809
2011-04-01,14.809,14.733,14.6016,15.0051,13.8762,14.706
2011-04-04,14.706,14.839,14.6633,14.993,13.8872,14.241
2011-04-05,14.241,14.541,14.6,14.972,13.8973,14.368
2011-04-06,14.368,14.318,14.5617,14.9491,13.9083,14.514
2011-04-07,14.514,14.407,14.5278,14.9308,13.9205,14.468
2011-04-08,14.468,14.636,14.4596,14.9115,13.9334,14.448
2011-04-11,14.448,14.419,14.408,14.8997,13.9465,14.279
2011-04-12,14.279,14.389,14.4156,14.8848,13.9588,14.421
2011-04-13,14.421,14.402,14.4261,14.8674,13.9741,14.477
2011-04-14,14.477,14.394,14.4186,14.8506,13.9908,13.28
2011-04-15,13.28,13.645,14.1811,14.8108,14.0022,13.184
2011-04-18,13.184,13.173,13.9282,14.7687,14.0135,13.051
2011-04-19,13.051,13.262,13.6826,14.7223,14.0242,13.156
2011-04-20,13.156,13.16,13.4296,14.6759,14.0337,13.14
2011-04-21,13.14,13.2,13.1623,14.6302,14.0422,13.139
2011-04-25,13.139,13.144,13.134,14.5844,14.0495,13.333
2011-04-26,13.333,13.176,13.1639,14.5386,14.0566,13.457
2011-04-27,13.457,13.463,13.2451,14.4933,14.0627,13.462
2011-04-28,13.462,13.465,13.3064,14.4502,14.0685,13.616
2011-04-29,13.616,13.513,13.4015,14.4101,14.0748,13.477
2011-05-02,13.477,13.656,13.4691,14.3667,14.0846,13.36
2011-05-03,13.36,13.441,13.4745,14.3186,14.0931,13.408
2011-05-04,13.408,13.392,13.4646,14.2813,14.0999,13.37
2011-05-05,13.37,13.359,13.4461,14.2428,14.107,13.395
2011-05-06,13.395,13.467,13.402,14.206,14.1133,13.455
2011-05-09,13.455,13.388,13.3976,14.1697,14.1193,13.58
2011-05-10,13.58,13.513,13.4415,14.1343,14.126,13.399
2011-05-11,13.399,13.517,13.4398,14.1017,14.1313,13.389
2011-05-12,13.389,13.394,13.4437,14.0687,14.1377,13.252
2011-05-13,13.252,13.378,13.4149,14.0287,14.1433,12.973
2011-05-16,12.973,13.171,13.3186,13.9876,14.1475,13.274
2011-05-17,13.274,12.898,13.2575,13.9569,14.1525,13.258
2011-05-18,13.258,13.251,13.2293,13.9257,14.1575,13.294
2011-05-19,13.294,13.331,13.2103,13.8954,14.1606,13.113
2011-05-20,13.113,13.308,13.1826,13.8672,14.1626,12.972
2011-05-23,12.972,12.928,13.1825,13.838,14.1649,12.969
2011-05-24,12.969,13.022,13.1214,13.8121,14.1665,13.004
2011-05-25,13.004,12.946,13.0707,13.7872,14.1685,12.966
2011-05-26,12.966,12.955,13.005,13.7677,14.1718,13.035
2011-05-27,13.035,12.975,12.9893,13.7474,14.1754,13.238
2011-05-31,13.238,13.138,13.0425,13.7314,14.1807,13.153
2011-06-01,13.153,13.214,13.0793,13.7059,14.1857,13.214
2011-06-02,13.214,13.202,13.1213,13.6812,14.1904,13.09
2011-06-03,13.09,13.063,13.146,13.6517,14.1956,13.039
2011-06-06,13.039,13.101,13.1468,13.6187,14.2022,12.988
2011-06-07,12.988,13.085,13.0968,13.5883,14.2093,12.992
2011-06-08,12.992,12.926,13.0647,13.5602,14.2162,12.931
2011-06-09,12.931,13.013,13.008,13.5277,14.2244,12.75
2011-06-10,12.75,12.864,12.94,13.4915,14.2313,12.63
2011-06-13,12.63,12.762,12.8583,13.4504,14.238,12.722
2011-06-14,12.722,12.716,12.8049,13.4087,14.2442,12.586
2011-06-15,12.586,12.638,12.7238,13.3663,14.2505,12.521
2011-06-16,12.521,12.582,12.6419,13.3319,14.2568,12.137
2011-06-17,12.137,12.667,12.5193,13.2872,14.2599,12.126
2011-06-20,12.126,12.137,12.4185,13.2395,14.2625,12.337
