ticker,BALL US Equity,BALL US Equity,BALL US Equity,BALL US Equity,BALL US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2005-01-12,10.4625,10.3,9.3852,10.562,10.8118,10.59
2005-01-13,10.59,10.4625,9.3954,10.5455,10.823,10.6875
2005-01-14,10.6875,10.59,9.4065,10.565,10.8338,10.775
2005-01-18,10.775,10.575,9.4175,10.6,10.8412,10.7925
2005-01-19,10.7925,10.7875,9.4281,10.6615,10.847,10.565
2005-01-20,10.565,10.6675,9.4374,10.682,10.849,10.6975
2005-01-21,10.6975,10.6275,9.4469,10.7035,10.8515,10.575
2005-01-24,10.575,10.675,9.4561,10.681,10.8517,10.5
2005-01-25,10.5,10.6625,9.4649,10.626,10.8484,10.4525
2005-01-26,10.4525,10.5625,9.473,10.558,10.842,10.5825
2005-01-27,10.5825,10.6875,9.4821,10.5615,10.8384,10.3975
2005-01-28,10.3975,10.5575,9.4906,10.5015,10.832,10.68
2005-01-31,10.68,10.525,9.5004,10.5225,10.8305,10.82
2005-02-01,10.82,10.69,9.5109,10.5865,10.8319,11.0
2005-02-02,11.0,10.8475,9.5224,10.696,10.8376,11.01
2005-02-03,11.01,11.0,9.5339,10.7815,10.8411,10.9875
2005-02-04,10.9875,11.075,9.5456,10.8995,10.847,10.9875
2005-02-07,10.9875,11.015,9.5564,10.961,10.8502,11.0125
2005-02-08,11.0125,10.9875,9.5676,10.9995,10.8513,10.855
2005-02-09,10.855,10.9975,9.5783,10.9705,10.85,10.945
2005-02-10,10.945,10.8675,9.5895,10.9575,10.8452,11.02
2005-02-11,11.02,10.975,9.6019,10.964,10.8434,11.0175
2005-02-14,11.0175,11.0375,9.6159,10.97,10.8439,11.0175
2005-02-15,11.0175,11.025,9.6298,10.971,10.8459,11.17
2005-02-16,11.17,11.0175,9.6438,11.034,10.8562,11.155
2005-02-17,11.155,11.1875,9.6581,11.076,10.8617,11.2
2005-02-18,11.2,11.175,9.673,11.112,10.8663,10.9425
2005-02-22,10.9425,11.0925,9.6875,11.097,10.868,10.9175
2005-02-23,10.9175,10.945,9.7037,11.077,10.8686,11.0675
2005-02-24,11.0675,10.9075,9.7199,11.0565,10.8669,11.1375
2005-02-25,11.1375,11.015,9.7361,11.053,10.866,11.1
2005-02-28,11.1,11.025,9.7511,11.033,10.8633,10.9425
2005-03-01,10.9425,11.0725,9.7649,11.033,10.8597,11.06
2005-03-02,11.06,10.945,9.7793,11.0615,10.8635,11.0975
2005-03-03,11.0975,11.075,9.7949,11.0675,10.8642,11.4225
2005-03-04,11.4225,11.225,9.8114,11.1245,10.87,11.4675
2005-03-07,11.4675,11.5,9.8284,11.198,10.8777,11.4275
2005-03-08,11.4275,11.4875,9.8449,11.295,10.8851,11.4275
2005-03-09,11.4275,11.4275,9.8614,11.3685,10.8936,11.3325
2005-03-10,11.3325,11.4375,9.877,11.4155,10.8997,11.3575
2005-03-11,11.3575,11.345,9.8926,11.4025,10.906,11.4225
2005-03-14,11.4225,11.3875,9.9083,11.3935,10.914,11.275
2005-03-15,11.275,11.4,9.9227,11.363,10.9196,11.245
2005-03-16,11.245,11.3125,9.9362,11.3265,10.9276,11.38
2005-03-17,11.38,11.2325,9.9509,11.336,10.9383,11.405
2005-03-18,11.405,11.3825,9.9654,11.3455,10.9546,11.3375
2005-03-21,11.3375,11.405,9.9798,11.3285,10.9679,11.1625
2005-03-22,11.1625,11.335,9.9928,11.306,10.9794,11.1575
2005-03-23,11.1575,11.1975,10.0047,11.2885,10.9905,11.09
2005-03-24,11.09,11.23,10.0164,11.2305,11.0026,10.985
2005-03-28,10.985,11.1125,10.0279,11.1465,11.0131,10.7575
2005-03-29,10.7575,10.9225,10.038,11.0305,11.0164,10.33
2005-03-30,10.33,10.5675,10.0464,10.864,11.0093,10.37
2005-03-31,10.37,10.335,10.0549,10.7065,11.0012,10.415
2005-04-01,10.415,10.475,10.0637,10.5715,10.9936,10.2925
2005-04-04,10.2925,10.375,10.0718,10.433,10.9882,10.1525
2005-04-05,10.1525,10.285,10.0784,10.312,10.9773,10.205
2005-04-06,10.205,10.155,10.0855,10.287,10.9699,10.3125
2005-04-07,10.3125,10.225,10.0928,10.2755,10.9661,10.21
2005-04-08,10.21,10.3125,10.0991,10.2345,10.9613,9.8425
2005-04-11,9.8425,10.1625,10.1039,10.1445,10.9465,10.2625
2005-04-12,10.2625,10.0375,10.1105,10.1665,10.9438,9.9775
2005-04-13,9.9775,10.225,10.1161,10.121,10.9297,9.805
2005-04-14,9.805,9.9875,10.1204,10.0195,10.9094,9.675
2005-04-15,9.675,9.795,10.1237,9.9125,10.8829,9.625
2005-04-18,9.625,9.675,10.1273,9.869,10.8552,9.955
2005-04-19,9.955,9.7625,10.1328,9.8075,10.8346,9.8525
2005-04-20,9.8525,9.97,10.137,9.7825,10.8119,10.12
2005-04-21,10.12,9.925,10.1422,9.8455,10.794,10.0675
2005-04-22,10.0675,10.07,10.1478,9.924,10.7783,10.175
2005-04-25,10.175,10.0175,10.1542,10.034,10.7628,9.75
2005-04-26,9.75,10.175,10.1582,9.993,10.7374,9.935
2005-04-27,9.935,9.7375,10.1627,10.0095,10.7158,9.745
2005-04-28,9.745,10.0,10.166,9.9345,10.6903,9.875
2005-04-29,9.875,9.7575,10.1695,9.896,10.6644,9.83
2005-05-02,9.83,9.88,10.1728,9.827,10.6379,9.9025
2005-05-03,9.9025,9.835,10.1771,9.8575,10.612,9.9475
2005-05-04,9.9475,9.9025,10.1818,9.86,10.5921,9.745
2005-05-05,9.745,9.9375,10.1864,9.86,10.5686,9.795
2005-05-06,9.795,9.8125,10.1916,9.844,10.5432,9.85
2005-05-09,9.85,9.8375,10.1971,9.848,10.5174,9.625
2005-05-10,9.625,9.86,10.2023,9.7925,10.4879,9.725
2005-05-11,9.725,9.6375,10.2074,9.748,10.4636,9.35
2005-05-12,9.35,9.92,10.2098,9.669,10.4294,9.2275
2005-05-13,9.2275,9.3475,10.2106,9.5555,10.392,9.3125
2005-05-16,9.3125,9.2275,10.2121,9.448,10.3498,9.2875
2005-05-17,9.2875,9.2,10.213,9.3805,10.3062,9.4675
2005-05-18,9.4675,9.405,10.2143,9.329,10.267,9.3
2005-05-19,9.3,9.4675,10.2149,9.319,10.2244,9.2725
2005-05-20,9.2725,9.3,10.2158,9.328,10.1832,9.4625
2005-05-23,9.4625,9.31,10.2183,9.358,10.1453,9.4875
2005-05-24,9.4875,9.4625,10.2205,9.398,10.1066,9.38
2005-05-25,9.38,9.49,10.2217,9.3805,10.0687,9.475
2005-05-26,9.475,9.39,10.2236,9.4155,10.0333,9.49
2005-05-27,9.49,9.4875,10.226,9.459,9.9955,9.3875
2005-05-31,9.3875,9.4425,10.2279,9.444,9.9552,9.395
2005-06-01,9.395,9.3875,10.2293,9.4255,9.9164,9.4025
2005-06-02,9.4025,9.4025,10.2303,9.43,9.8811,9.3875
2005-06-03,9.3875,9.4025,10.2308,9.4125,9.8457,9.45
2005-06-06,9.45,9.45,10.2318,9.4045,9.8129,9.3975
2005-06-07,9.3975,9.52,10.2322,9.4065,9.7812,9.3875
2005-06-08,9.3875,9.4,10.2328,9.405,9.7538,9.3825
2005-06-09,9.3825,9.3375,10.2329,9.401,9.7348,9.37
2005-06-10,9.37,9.3875,10.2333,9.3975,9.7148,9.5925
2005-06-13,9.5925,9.35,10.2348,9.426,9.6984,9.625
2005-06-14,9.625,9.575,10.2365,9.4715,9.685,9.5325
2005-06-15,9.5325,9.66,10.238,9.5005,9.6726,9.6
2005-06-16,9.6,9.5125,10.2393,9.544,9.6605,9.5925
2005-06-17,9.5925,9.595,10.2404,9.5885,9.6461,9.36
2005-06-20,9.36,9.475,10.2402,9.542,9.6291,9.2825
2005-06-21,9.2825,9.3175,10.2396,9.4735,9.6179,9.19
2005-06-22,9.19,9.3,10.2385,9.405,9.5965,9.1425
2005-06-23,9.1425,9.1875,10.2364,9.3135,9.5798,9.0075
2005-06-24,9.0075,9.05,10.2353,9.1965,9.5638,9.125
2005-06-27,9.125,9.0,10.2355,9.1495,9.5528,9.2075
2005-06-28,9.2075,9.1075,10.2358,9.1345,9.5445,9.035
2005-06-29,9.035,9.1825,10.2348,9.1035,9.5261,8.99
2005-06-30,8.99,9.0675,10.2349,9.073,9.5088,8.89
