ticker,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2015-04-21,109.5,110.6,111.7467,108.822,115.0832,110.73
2015-04-22,110.73,109.6,111.7991,109.488,114.9088,108.12
2015-04-23,108.12,106.75,111.8392,109.442,114.6538,107.51
2015-04-24,107.51,107.86,111.8737,109.26,114.3612,107.51
2015-04-27,107.51,107.33,111.9132,108.674,114.0348,107.89
2015-04-28,107.89,107.16,111.9513,108.352,113.7406,106.92
2015-04-29,106.92,107.58,111.9805,107.59,113.4282,106.23
2015-04-30,106.23,106.25,112.0048,107.212,113.0858,107.71
2015-05-01,107.71,106.66,112.0344,107.252,112.8008,107.99
2015-05-04,107.99,108.4,112.0721,107.348,112.4874,105.94
2015-05-05,105.94,107.71,112.0951,106.958,112.1312,106.93
2015-05-06,106.93,106.5,112.1216,106.96,111.816,107.31
2015-05-07,107.31,106.34,112.1438,107.176,111.5138,107.44
2015-05-08,107.44,108.38,112.1685,107.122,111.2474,106.75
2015-05-11,106.75,107.22,112.1934,106.874,110.9772,105.77
2015-05-12,105.77,106.33,112.2139,106.84,110.6776,102.39
2015-05-13,102.39,105.7,112.2227,105.932,110.3562,102.09
2015-05-14,102.09,102.19,112.2351,104.888,110.0338,103.83
2015-05-15,103.83,102.95,112.2569,104.166,109.7438,103.95
2015-05-18,103.95,103.3,112.2851,103.606,109.4938,104.02
2015-05-19,104.02,104.33,112.3157,103.256,109.2308,103.28
2015-05-20,103.28,103.68,112.3406,103.434,109.0014,104.96
2015-05-21,104.96,102.99,112.3756,104.008,108.8148,104.2
2015-05-22,104.2,104.57,112.4091,104.082,108.5962,102.9
2015-05-26,102.9,103.55,112.4362,103.872,108.3638,102.62
2015-05-27,102.62,102.53,112.4561,103.592,108.0818,101.36
2015-05-28,101.36,102.48,112.465,103.208,107.7806,100.91
2015-05-29,100.91,101.08,112.4712,102.398,107.4432,101.93
2015-06-01,101.93,101.16,112.478,101.944,107.1308,101.6
2015-06-02,101.6,102.07,112.4774,101.684,106.8138,101.99
2015-06-03,101.99,101.82,112.4774,101.558,106.598,101.74
2015-06-04,101.74,101.08,112.4671,101.634,106.3826,102.28
2015-06-05,102.28,101.8,112.4566,101.908,106.2118,100.71
2015-06-08,100.71,102.13,112.4323,101.664,106.0626,99.7
2015-06-09,99.7,100.42,112.4015,101.284,105.8878,99.67
2015-06-10,99.67,100.0,112.371,100.82,105.6794,100.92
2015-06-11,100.92,100.11,112.3474,100.656,105.5316,100.5
2015-06-12,100.5,100.34,112.3221,100.3,105.3948,100.52
2015-06-15,100.52,99.84,112.2982,100.262,105.2626,100.52
2015-06-16,100.52,100.4,112.2756,100.426,105.1454,101.18
2015-06-17,101.18,100.88,112.2551,100.728,105.0122,102.31
2015-06-18,102.31,101.48,112.2356,101.006,104.8958,101.16
2015-06-19,101.16,101.92,112.2084,101.138,104.7232,101.44
2015-06-22,101.44,101.67,112.1794,101.322,104.5236,101.15
2015-06-23,101.15,102.27,112.1467,101.448,104.3772,98.25
2015-06-24,98.25,100.71,112.1006,100.862,104.1788,96.97
2015-06-25,96.97,98.69,112.0481,99.794,103.9702,96.77
2015-06-26,96.77,97.47,111.9951,98.916,103.7386,95.53
2015-06-29,95.53,95.99,111.9342,97.734,103.4808,95.37
2015-06-30,95.37,96.38,111.876,96.578,103.1794,96.16
2015-07-01,96.16,96.34,111.8216,96.16,102.9126,96.66
2015-07-02,96.66,96.29,111.7653,96.098,102.6312,96.24
2015-07-06,96.24,96.39,111.6986,95.992,102.3936,97.74
2015-07-07,97.74,96.62,111.6403,96.434,102.1982,95.85
2015-07-08,95.85,96.98,111.5727,96.53,101.965,96.25
2015-07-09,96.25,96.8,111.5115,96.548,101.7322,97.82
2015-07-10,97.82,97.12,111.4616,96.78,101.5502,97.08
2015-07-13,97.08,98.7,111.4035,96.948,101.3672,96.79
2015-07-14,96.79,97.04,111.3515,96.758,101.1488,96.98
2015-07-15,96.98,97.38,111.2935,96.984,100.9286,96.04
2015-07-16,96.04,97.47,111.2311,96.942,100.7306,97.42
2015-07-17,97.42,96.14,111.1761,96.862,100.5404,98.31
2015-07-20,98.31,97.58,111.1386,97.108,100.3604,98.82
2015-07-21,98.82,98.55,111.1022,97.514,100.188,97.68
2015-07-22,97.68,98.86,111.0431,97.654,100.0066,92.12
2015-07-23,92.12,95.65,110.9572,96.87,99.7336,92.61
2015-07-24,92.61,92.55,110.8884,95.908,99.538,92.39
2015-07-27,92.39,91.68,110.8103,94.724,99.344,96.62
2015-07-28,96.62,93.13,110.7667,94.284,99.1998,98.53
2015-07-29,98.53,96.41,110.7526,94.454,99.0914,97.7
2015-07-30,97.7,97.85,110.7507,95.57,98.965,97.59
2015-07-31,97.59,97.69,110.7379,96.566,98.8512,96.47
2015-08-03,96.47,97.56,110.7217,97.382,98.6814,95.72
2015-08-04,95.72,96.2,110.6802,97.202,98.5118,95.07
2015-08-05,95.07,96.4,110.6235,96.51,98.3552,93.8
2015-08-06,93.8,95.18,110.5617,95.73,98.1788,92.5
2015-08-07,92.5,93.55,110.4799,94.712,98.0016,93.48
2015-08-10,93.48,93.05,110.413,94.114,97.853,92.31
2015-08-11,92.31,92.75,110.3134,93.432,97.6606,92.82
2015-08-12,92.82,91.61,110.2046,92.982,97.485,92.7
2015-08-13,92.7,92.64,110.0942,92.762,97.2992,92.74
2015-08-14,92.74,92.32,109.977,92.81,97.1192,92.74
2015-08-17,92.74,92.46,109.8658,92.662,96.9284,92.78
2015-08-18,92.78,92.66,109.7547,92.756,96.7698,92.16
2015-08-19,92.16,92.25,109.6333,92.624,96.619,89.32
2015-08-20,89.32,90.62,109.5036,91.948,96.412,86.45
2015-08-21,86.45,88.36,109.3594,90.69,96.1226,82.66
2015-08-24,82.66,81.18,109.1907,88.674,95.7658,80.56
2015-08-25,80.56,85.2,108.9988,86.23,95.3666,84.1
2015-08-26,84.1,82.625,108.8255,84.618,95.0382,86.28
2015-08-27,86.28,84.35,108.6524,84.01,94.7402,86.89
2015-08-28,86.89,86.1,108.4807,84.098,94.4318,85.74
2015-08-31,85.74,86.9,108.3058,84.714,94.1234,83.38
2015-09-01,83.38,83.63,108.1215,85.278,93.7622,85.11
2015-09-02,85.11,84.36,107.9435,85.48,93.4414,85.7
2015-09-03,85.7,85.94,107.7704,85.364,93.1904,84.78
2015-09-04,84.78,85.0,107.5912,84.942,92.9466,87.86
2015-09-08,87.86,87.0,107.428,85.366,92.7684,86.95
2015-09-09,86.95,88.35,107.2582,86.08,92.5968,87.1
2015-09-10,87.1,86.9,107.0844,86.478,92.4314,86.12
2015-09-11,86.12,87.08,106.9005,86.562,92.2306,85.73
2015-09-14,85.73,86.52,106.7166,86.752,92.012,87.98
2015-09-15,87.98,86.18,106.5399,86.776,91.8468,89.79
2015-09-16,89.79,87.92,106.405,87.344,91.6878,89.72
2015-09-17,89.72,89.325,106.2805,87.868,91.5652,87.78
2015-09-18,87.78,88.6,106.1245,88.2,91.3958,88.25
2015-09-21,88.25,87.97,105.961,88.704,91.2044,86.67
2015-09-22,86.67,86.97,105.7956,88.442,90.9962,85.68
2015-09-23,85.68,86.4,105.6309,87.62,90.774,84.83
2015-09-24,84.83,84.77,105.4804,86.642,90.531,86.59
2015-09-25,86.59,86.25,105.333,86.404,90.342,84.97
2015-09-28,84.97,85.68,105.1894,85.748,90.093,86.55
2015-09-29,86.55,85.24,105.0504,85.724,89.8578,88.41
2015-09-30,88.41,87.9,104.9297,86.27,89.6496,90.4
2015-10-01,90.4,89.24,104.82,87.384,89.504,91.9
2015-10-02,91.9,88.75,104.7185,88.446,89.4996,93.71
2015-10-05,93.71,91.73,104.6125,90.194,89.5216,93.39
2015-10-06,93.39,93.81,104.4851,91.562,89.5416,95.11
2015-10-07,95.11,94.21,104.3683,92.902,89.5114,97.05
2015-10-08,97.05,94.57,104.2515,94.232,89.4818,97.04
2015-10-09,97.04,97.75,104.1333,95.26,89.4686,95.26
2015-10-12,95.26,96.76,104.0081,95.57,89.422,93.8
2015-10-13,93.8,94.44,103.8751,95.652,89.3686,92.91
2015-10-14,92.91,93.44,103.7362,95.212,89.3124,94.26
2015-10-15,94.26,93.67,103.6062,94.654,89.2962,92.94
2015-10-16,92.94,94.63,103.4753,93.834,89.279,92.71
2015-10-19,92.71,92.56,103.3458,93.324,89.2832,93.74
2015-10-20,93.74,92.71,103.2415,93.312,89.2884,93.41
2015-10-21,93.41,94.3,103.1474,93.412,89.3104,97.01
2015-10-22,97.01,96.51,103.0682,93.962,89.3942,96.92
2015-10-23,96.92,97.42,102.9674,94.758,89.4786,95.17
2015-10-26,95.17,96.62,102.8683,95.25,89.5272,90.24
2015-10-27,90.24,94.2,102.7497,94.55,89.4772,90.1
